"contrast1","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","avg_flat_b","avg_flat_p"
"((ses-02) - (ses-01) verum) - ((ses-02) - (ses-01) placebo)","Interoception - nonself",-0.0128070275550959,0.0509413666822033,23780.3149222125,-0.112655353626962,0.0870412985167704,-0.251407223425949,0.801501455886097,-0.0503995482323497,0.0772767788157157
"((ses-02) - (ses-01) verum) - ((ses-02) - (ses-01) placebo)","Exteroception - nonself",-0.102753911636007,0.0433209491995974,23780.3226865907,-0.187665733659491,-0.0178420896125231,-2.37192198080835,0.0177037404942229,NA,NA
"((ses-02) - (ses-01) verum) - ((ses-02) - (ses-01) placebo)","Cognition - nonself",-0.0356377055059463,0.0486463467135457,23780.3168805302,-0.13098764613751,0.0597122351256177,-0.732587499649236,0.463817277971502,NA,NA
