"condition","n_roi","n_obs","b_3way","se_3way","t_3way","p_3way","b_grp_ses","se_grp_ses","t_grp_ses","p_grp_ses","b_ses_g1","se_ses_g1","t_ses_g1","p_ses_g1","AIC"
"Full (258 ROIs)",258,18042,0.0319275019980312,0.0103451198524353,3.08623799950613,0.00203018628202865,-0.0303494443478747,0.0103444155355824,-2.93389648196939,0.00335164241475663,-0.057876968486161,0.00720424171889749,-8.0337349501119,1.00430712324732e-15,13809.9198274078
"Drop bottom 5",253,17692,0.0313458338746197,0.0104769343940005,2.9918898692894,0.00277644902182551,-0.0298547863826806,0.0104317444278861,-2.86191696787288,0.00421589430878251,-0.0571769631811418,0.00729604462718469,-7.83670688746932,4.890639588606e-15,13490.2539029752
"Drop top 5",253,17695,0.0327443551649177,0.0107151838298336,3.05588365864053,0.0022473809823097,-0.0298561885057553,0.0104411712236924,-2.85946737833467,0.00424857525396269,-0.0584137133771604,0.0074620132322488,-7.82814390152944,5.23414396414273e-15,13513.4812652992
"Drop bottom 5 + top 5",248,17345,0.0321500066297581,0.0108529122662858,2.96233912528998,0.00305732336913966,-0.0293838112426886,0.0105214597679389,-2.79275042539507,0.00523201969924699,-0.0576923028113497,0.00755792923227466,-7.63334784414042,2.40784023266726e-14,13194.4651345547
"Drop bottom 10 + top 10",238,16647,0.0328461584948241,0.011436729907183,2.87198865072389,0.00408421352140785,-0.0290967038172216,0.0107355859194775,-2.71030421957983,0.00672915542063997,-0.0564044223056057,0.00796566764641477,-7.08094095929204,1.48996920670767e-12,12652.188811036
