atlas,roi_pos_id,roi_name,subgroup,placebo_change,verum_change,interaction
nonself,107,R_PBelt_ROI,Auditory,-0.15767106463442238,0.10506493824643126,0.26273600288085364
nonself,249,L_52_ROI,Auditory,0.01868442169289919,0.12857820824537747,0.10989378655247828
nonself,22,R_A1_ROI,Auditory,-0.048705648043829264,0.05500873821839747,0.10371438626222673
nonself,152,R_MBelt_ROI,Auditory,0.002345156950422478,0.0953906609702857,0.09304550401986322
nonself,153,R_LBelt_ROI,Auditory,-7.102275513881651e-5,0.09278264814169734,0.09285367089683616
nonself,252,L_TA2_ROI,Auditory,0.10167064918122826,0.17441304233879373,0.07274239315756548
nonself,250,L_RI_ROI,Auditory,0.08464194595594332,0.09341113832297543,0.008769192367032108
nonself,91,R_52_ROI,Auditory,0.017525757201938497,0.022450151249292727,0.00492439404735423
nonself,182,L_A1_ROI,Auditory,0.05531186326131987,0.013779286342152641,-0.04153257691916723
nonself,154,R_A4_ROI,Auditory,0.11058591080018676,0.01836743176134803,-0.09221847903883873
nonself,310,L_LBelt_ROI,Auditory,0.10901744471635366,-0.015781645646266274,-0.12479909036261994
nonself,265,L_PBelt_ROI,Auditory,0.2254690612710566,0.0413628126620762,-0.1841062486089804
nonself,311,L_A4_ROI,Auditory,0.1920857958990756,-0.006899854206839251,-0.19898565010591485
nonself,98,R_FOP1_ROI,Cingulo-Opercular,-0.24340603973371078,0.1768307335305317,0.42023677326424247
nonself,251,L_PFcm_ROI,Cingulo-Opercular,-0.13782995841984347,0.19317619148207354,0.331006149901917
nonself,128,R_PFop_ROI,Cingulo-Opercular,-9.657682186059446e-5,0.1960913952445522,0.1961879720664128
nonself,304,L_PoI1_ROI,Cingulo-Opercular,0.04856591403714061,0.23171478601483786,0.18314887197769725
nonself,254,L_MI_ROI,Cingulo-Opercular,0.013428330909061703,0.15714901148645755,0.14372068057739584
nonself,146,R_PoI1_ROI,Cingulo-Opercular,-0.11455130883894205,0.013686276992702417,0.12823758583164446
nonself,286,L_PFop_ROI,Cingulo-Opercular,-0.06549130412773962,0.056424733625699997,0.12191603775343962
nonself,41,R_6ma_ROI,Cingulo-Opercular,-0.0611098014617939,0.05504149108194989,0.11615129254374379
nonself,211,L_p24pr_ROI,Cingulo-Opercular,0.016596384803215347,0.12517069157334149,0.10857430677012614
nonself,213,L_a24pr_ROI,Cingulo-Opercular,-0.0048383082919594145,0.09549194483562484,0.10033025312758426
nonself,257,L_FOP3_ROI,Cingulo-Opercular,0.06541828419506279,0.15379881417524066,0.08838052998017787
nonself,148,R_FOP5_ROI,Cingulo-Opercular,-0.07189126327319695,0.0030637288465369394,0.07495499211973389
nonself,194,L_23c_ROI,Cingulo-Opercular,0.02339124416504923,0.09118850965761816,0.06779726549256893
nonself,256,L_FOP1_ROI,Cingulo-Opercular,-0.04956568051511967,0.017058668781432917,0.06662434929655259
nonself,214,L_p32pr_ROI,Cingulo-Opercular,0.11963291828395084,0.17443583616648128,0.054802917882530444
nonself,11,R_PEF_ROI,Cingulo-Opercular,-0.04068324707527271,0.013883289324713832,0.05456653639998654
nonself,233,L_46_ROI,Cingulo-Opercular,-0.009838575579561581,0.038217845419985075,0.048056420999546656
nonself,10,R_FEF_ROI,Cingulo-Opercular,-0.059164080772206695,-0.016599545841880392,0.0425645349303263
nonself,212,L_33pr_ROI,Cingulo-Opercular,-0.028746272778522375,0.008845016895695945,0.03759128967421832
nonself,168,L_FEF_ROI,Cingulo-Opercular,0.11959373182317146,0.1558900584375742,0.03629632661440274
nonself,253,L_FOP4_ROI,Cingulo-Opercular,-0.09443775847698355,-0.06298688090135851,0.031450877575625036
nonself,40,R_SCEF_ROI,Cingulo-Opercular,0.1734878502170365,0.19598965448366856,0.022501804266632064
nonself,315,L_a32pr_ROI,Cingulo-Opercular,0.05718766456168334,0.0660511274912019,0.008863462929518562
