"roi_uid","roi_name","atlas_source","region_category","placebo","verum","drug_ses_effect"
"nonself_248","L_OP2-3_ROI","nonself","Sensory-Motor",0.0369970540641073,-0.0350958438315365,-0.0720928978956438
"nonself_249","L_52_ROI","nonself","Sensory-Motor",0.0186844216928995,0.128578208245377,0.109893786552478
"nonself_250","L_RI_ROI","nonself","Sensory-Motor",0.0846419459559431,0.0934111383229749,0.00876919236703183
"nonself_252","L_TA2_ROI","nonself","Sensory-Motor",0.101670649181227,0.174413042338794,0.0727423931575662
"nonself_258","L_FOP2_ROI","nonself","Sensory-Motor",-0.00946801228114992,0.0981701250063146,0.107638137287464
"nonself_263","L_ProS_ROI","nonself","Sensory-Motor",0.199985975610762,0.126437447666074,-0.0735485279446873
"nonself_265","L_PBelt_ROI","nonself","Sensory-Motor",0.225469061271056,0.0413628126620766,-0.18410624860898
"nonself_281","L_DVT_ROI","nonself","Sensory-Motor",-0.0716810361764721,0.120192298082405,0.191873334258878
"nonself_290","L_V6A_ROI","nonself","Sensory-Motor",0.447893941399379,-0.0644143388585831,-0.512308280257962
"nonself_291","L_VMV1_ROI","nonself","Sensory-Motor",0.306722032553045,0.111467929725998,-0.195254102827047
"nonself_292","L_VMV3_ROI","nonself","Sensory-Motor",0.0895473999470857,0.0942360207467324,0.00468862079964671
"nonself_294","L_V4t_ROI","nonself","Sensory-Motor",0.483783407795201,0.199639790030744,-0.284143617764457
"nonself_295","L_V3CD_ROI","nonself","Sensory-Motor",0.383169974519025,0.132917113920137,-0.250252860598888
"nonself_296","L_LO3_ROI","nonself","Sensory-Motor",0.43754513744127,0.124789208127145,-0.312755929314126
"nonself_297","L_VMV2_ROI","nonself","Sensory-Motor",0.179722334545436,0.159785268034766,-0.01993706651067
"nonself_3","R_V6_ROI","nonself","Sensory-Motor",0.452852458707361,0.0478831761910397,-0.404969282516322
"nonself_300","L_VVC_ROI","nonself","Sensory-Motor",0.120363165909861,0.155760948702599,0.0353977827927381
"nonself_305","L_Ig_ROI","nonself","Sensory-Motor",0.099859284841437,0.100848144889898,0.000988860048460785
"nonself_310","L_LBelt_ROI","nonself","Sensory-Motor",0.109017444716354,-0.0157816456462659,-0.124799090362619
"nonself_311","L_A4_ROI","nonself","Sensory-Motor",0.192085795899075,-0.00689985420683988,-0.198985650105915
"nonself_33","R_5m_ROI","nonself","Sensory-Motor",0.244476793711706,0.134724652307201,-0.109752141404506
"nonself_36","R_5L_ROI","nonself","Sensory-Motor",0.409493054035153,0.163637783415604,-0.245855270619549
"nonself_37","R_24dd_ROI","nonself","Sensory-Motor",0.150538549042821,0.103268597916763,-0.0472699511260588
"nonself_38","R_24dv_ROI","nonself","Sensory-Motor",0.289856910522393,0.0133785700914662,-0.276478340430927
"nonself_39","R_7AL_ROI","nonself","Sensory-Motor",0.322730995071948,0.199161789673497,-0.123569205398451
"nonself_4","R_V2_ROI","nonself","Sensory-Motor",0.18533309702712,0.225491044897576,0.0401579478704562
"nonself_44","R_VIP_ROI","nonself","Sensory-Motor",0.39676949241696,0.0179099694038824,-0.378859523013077
"nonself_45","R_1_ROI","nonself","Sensory-Motor",0.113176029834746,0.154856944402188,0.0416809145674422
"nonself_46","R_2_ROI","nonself","Sensory-Motor",0.356450228931248,0.138979275120454,-0.217470953810794
"nonself_47","R_3a_ROI","nonself","Sensory-Motor",0.112653038633597,0.0177289893251566,-0.0949240493084406
"nonself_48","R_6d_ROI","nonself","Sensory-Motor",0.446056377310566,0.224050437495747,-0.222005939814819
"nonself_49","R_6mp_ROI","nonself","Sensory-Motor",0.0171518921406944,0.172455212840374,0.155303320699679
"nonself_5","R_V3_ROI","nonself","Sensory-Motor",0.159659923812036,0.104011965466618,-0.0556479583454179
"nonself_50","R_6v_ROI","nonself","Sensory-Motor",0.21745277145604,0.0164144783122123,-0.201038293143828
"nonself_6","R_V4_ROI","nonself","Sensory-Motor",0.0281489897954801,0.0653853377552016,0.0372363479597215
"nonself_7","R_V8_ROI","nonself","Sensory-Motor",0.284724938231006,0.122146428978925,-0.162578509252081
"nonself_8","R_4_ROI","nonself","Sensory-Motor",-0.0501614513784239,0.0819462414805952,0.132107692859019
"nonself_88","R_OP4_ROI","nonself","Sensory-Motor",0.13507098699225,-0.0192436470161672,-0.154314634008417
"nonself_89","R_OP1_ROI","nonself","Sensory-Motor",0.164981752357797,0.258509497165968,0.0935277448081709
"nonself_9","R_3b_ROI","nonself","Sensory-Motor",0.121503910494604,0.00684112643096595,-0.114662784063638
"nonself_90","R_OP2-3_ROI","nonself","Sensory-Motor",0.0729731218275528,0.0543344716431479,-0.0186386501844049
"nonself_91","R_52_ROI","nonself","Sensory-Motor",0.017525757201939,0.0224501512492933,0.00492439404735434
"nonself_92","R_RI_ROI","nonself","Sensory-Motor",-0.0605837279104528,0.069005278584304,0.129589006494757
"self_1","Interoception_R_Insula","self","Interoception",-0.0428492085306308,-0.0282067030950792,0.0146425054355516
"self_10","Interoception_L_STG","self","Interoception",0.235274737956233,0.102100448381421,-0.133174289574811
"self_11","Interoception_L_Postcentral","self","Interoception",0.163959120460933,0.229675158625062,0.0657160381641285
"self_12","Exteroception_R_Fusiform","self","Exteroception",0.239018543738013,-0.204674249164363,-0.443692792902376
"self_13","Exteroception_R_IFG","self","Exteroception",-0.186558666829259,0.079429106365768,0.265987773195027
"self_14","Exteroception_R_Premotor","self","Exteroception",0.00395464269850405,0.140608214515218,0.136653571816714
"self_15","Exteroception_R_Insula","self","Exteroception",0.0499984580483095,0.0134895394598465,-0.036508918588463
"self_16","Exteroception_L_Fusiform","self","Exteroception",0.309242628826548,0.220199943637046,-0.0890426851895019
"self_17","Exteroception_R_SPL","self","Exteroception",0.133566087791779,0.0380018168110108,-0.0955642709807683
"self_18","Exteroception_R_Postcentral","self","Exteroception",0.173136830618681,0.248984997608861,0.0758481669901806
"self_19","Exteroception_R_IPL","self","Exteroception",0.288762316954543,-0.0072174943943331,-0.295979811348876
"self_2","Interoception_L_DACC","self","Interoception",-0.0210758866556652,0.130111694122563,0.151187580778228
"self_20","Exteroception_L_Insula","self","Exteroception",0.058853646061332,-0.0732774197451009,-0.132131065806433
"self_21","Exteroception_R_IOG","self","Exteroception",0.201258068296961,0.094592095421008,-0.106665972875953
"self_22","Exteroception_L_IPL","self","Exteroception",0.19008830788763,-0.00769394677570622,-0.197782254663337
"self_23","Exteroception_L_SPL","self","Exteroception",0.125592878576725,0.135165095184609,0.00957221660788393
"self_24","Exteroception_R_Cingulate","self","Exteroception",0.210588454145351,0.0753236934641766,-0.135264760681174
"self_25","Exteroception_L_mPFC","self","Exteroception",0.225629976914169,0.264096182397435,0.0384662054832656
"self_26","Cognition_L_ACC","self","Cognition",0.142983890769651,0.283043460763849,0.140059569994199
"self_27","Cognition_L_PCC","self","Cognition",0.225243447541875,0.164584865221513,-0.0606585823203616
"self_28","Cognition_L_Insula","self","Cognition",0.211363594194394,0.080137583275901,-0.131226010918493
"self_29","Cognition_L_MTG","self","Cognition",0.10855296034031,0.193741657186207,0.0851886968458973
"self_3","Interoception_R_Thalamus","self","Interoception",0.156321535072652,0.0399096003627461,-0.116411934709906
"self_30","Cognition_L_Thalamus","self","Cognition",0.0216972881096553,0.166787866431536,0.14509057832188
"self_31","Cognition_L_SFG_1","self","Cognition",0.132665946873852,0.311997629419776,0.179331682545924
"self_32","Cognition_Cingulate","self","Cognition",0.0121663507969767,0.00665625314511553,-0.0055100976518612
"self_33","Cognition_L_ITG","self","Cognition",0.144877724706392,0.144238192453714,-0.000639532252678432
"self_34","Cognition_R_MTG","self","Cognition",0.123842001853542,0.114189933180048,-0.00965206867349411
"self_35","Cognition_R_Insula","self","Cognition",-0.118325544959861,0.148588373613385,0.266913918573245
"self_36","Cognition_L_SFG_2","self","Cognition",0.154199993060563,0.215708744214037,0.0615087511534744
"self_37","Cognition_R_Premotor","self","Cognition",0.211831462785927,0.108772754988857,-0.10305870779707
"self_4","Interoception_R_Parahippocampal","self","Interoception",0.0874963859090811,0.25893200987972,0.171435623970638
"self_5","Interoception_L_Parahippocampal","self","Interoception",0.0486191993040756,0.220343591099515,0.171724391795439
"self_6","Interoception_L_Insula_1","self","Interoception",-0.000641972669611832,0.226018819022191,0.226660791691803
"self_7","Interoception_L_Insula_2","self","Interoception",0.239168152182839,0.256273374883765,0.0171052227009266
"self_8","Interoception_R_IPL","self","Interoception",0.239506477445979,0.0525174169775235,-0.186989060468455
"self_9","Interoception_R_SFG","self","Interoception",0.169521474997367,-0.0324151626372702,-0.201936637634637
