"category","group","preto_post_b","SE","t","p"
"Sensory-Motor","placebo",0.0885773556736958,0.00664236518519435,13.3352131664083,2.09400526869021e-40
"Sensory-Motor","verum",0.0697184942970236,0.00683877178645149,10.1945928997288,2.38278671154105e-24
"Interoception","placebo",0.109012071522304,0.0282884422804613,3.85359046784975,0.000127873709762248
"Interoception","verum",0.0763367177065966,0.0291085669619079,2.62248285209274,0.00893245283702493
"Exteroception","placebo",0.191414303230116,0.0271144432527078,7.05949598323396,3.26760944681725e-12
"Exteroception","verum",0.0687920653335019,0.0279005319285974,2.46561841579055,0.0138572765510658
"Cognition","placebo",0.145270632804598,0.0279980783720748,5.18859297677696,2.75512989545687e-07
"Cognition","verum",0.0897646010380543,0.0288097849651194,3.11576782495024,0.0019072232013915
