nonself_pos_id,roi_name,G1,G1_z,glasser_row_index
133,R_VMV3_ROI,-4.1959,-0.9209154547900222,154
134,R_PHA2_ROI,1.33525,0.5397837379983068,155
135,R_V4t_ROI,-4.17245,-0.9147226384551035,156
136,R_FST_ROI,-3.95985,-0.858577958164965,157
137,R_V3CD_ROI,-4.06885,-0.8873633304679993,158
139,R_VMV2_ROI,-3.9542,-0.8570858723529271,160
140,R_31pd_ROI,5.72459,1.6989469129028971,161
141,R_31a_ROI,4.41875,1.3540928709928581,162
142,R_VVC_ROI,-3.54179,-0.7481741715135294,163
146,R_PoI1_ROI,-2.84553,-0.5643016639932483,167
147,R_Ig_ROI,-4.50137,-1.0015858004543146,168
148,R_FOP5_ROI,-0.0463236,0.17492951377772592,169
149,R_p10p_ROI,5.28343,1.5824427400110934,170
152,R_MBelt_ROI,-3.66894,-0.7817527044339954,173
153,R_LBelt_ROI,-3.75794,-0.8052563570483995,174
154,R_A4_ROI,-3.26927,-0.6762054590362551,175
155,R_STSva_ROI,5.76435,1.7094469716438938,176
158,R_a32pr_ROI,0.384682,0.2887520519492182,179
159,R_p24_ROI,0.618795,0.3505780140224315,180
160,L_V1_ROI,-3.08391,-0.627254480962031,181
161,L_MST_ROI,-4.14838,-0.9083660888098372,182
162,L_V6_ROI,-4.4467,-0.9871482196854441,183
163,L_V2_ROI,-3.99919,-0.8689671007925005,184
164,L_V3_ROI,-3.85466,-0.8307987534626148,185
165,L_V4_ROI,-3.91286,-0.8461685577565284,186
166,L_V8_ROI,-4.25253,-0.9358706440883785,187
167,L_4_ROI,-5.04562,-1.1453145974811623,188
168,L_FEF_ROI,-2.16418,-0.38436667850084116,190
169,L_PEF_ROI,-1.36994,-0.17461902622596115,191
170,L_55b_ROI,1.21697,0.5085476477597481,192
171,L_V3A_ROI,-4.44376,-0.9863718068912155,193
172,L_RSC_ROI,2.49715,0.8466252433092745,194
173,L_POS2_ROI,3.22832,1.0397169925460594,195
174,L_V7_ROI,-4.40902,-0.977197459792065,196
175,L_IPS1_ROI,-3.5734,-0.7565219294814092,197
176,L_FFC_ROI,-2.95834,-0.5940932038969666,198
177,L_V3B_ROI,-4.212,-0.9251672391393694,199
178,L_LO1_ROI,-4.22727,-0.9291998321216386,200
179,L_LO2_ROI,-4.08422,-0.8914223320487116,201
180,L_PIT_ROI,-3.88083,-0.8377098836751874,202
181,L_MT_ROI,-4.08727,-0.8922277943012277,203
182,L_A1_ROI,-3.71955,-0.7951180961060739,204
183,L_PSL_ROI,0.465444,0.3100801642238756,205
184,L_SFL_ROI,4.16656,1.2874930265790763,206
185,L_PCV_ROI,-0.468708,0.06338371369521459,207
186,L_STV_ROI,-0.710209,-0.0003933156309787376,208
187,L_7Pm_ROI,3.03862,0.9896198812994025,209
188,L_7m_ROI,6.08153,1.793209764185879,210
189,L_POS1_ROI,3.99598,1.2424452393547498,211
190,L_v23ab_ROI,6.01881,1.776646291242335,213
191,L_31pv_ROI,6.36514,1.8681071902304986,215
192,L_5m_ROI,-5.20963,-1.1886273397877734,216
193,L_5mv_ROI,-3.78823,-0.8132555215168298,217
194,L_23c_ROI,-1.89323,-0.3128125810191244,218
195,L_5L_ROI,-4.97604,-1.1269394946844178,219
196,L_24dv_ROI,-4.51501,-1.0051879332819604,221
197,L_7AL_ROI,-3.94824,-0.8555119198857153,222
198,L_SCEF_ROI,-2.55215,-0.48682411788073293,223
199,L_6ma_ROI,-0.815416,-0.028177009795064288,224
200,L_7Am_ROI,-1.82064,-0.2936425794092413,225
201,L_7PL_ROI,-1.05702,-0.09198123997765408,226
202,L_7PC_ROI,-4.54799,-1.0138974890485115,227
203,L_LIPv_ROI,-3.86824,-0.8343850411311947,228
204,L_VIP_ROI,-3.81149,-0.8193981615147067,229
205,L_1_ROI,-5.25407,-1.2003633209359095,231
206,L_2_ROI,-5.11736,-1.1642601260042782,232
207,L_3a_ROI,-4.93447,-1.1159614403116,233
208,L_6d_ROI,-5.19707,-1.1853104198233138,234
209,L_6mp_ROI,-4.96094,-1.1229517963195021,235
210,L_6v_ROI,-4.33317,-0.9571665378729352,236
211,L_p24pr_ROI,-1.42166,-0.18827755334075869,237
212,L_33pr_ROI,0.667102,0.3633352156723643,238
213,L_a24pr_ROI,-2.27701,-0.41416350012424813,239
214,L_p32pr_ROI,-2.42679,-0.4537182988723992,240
215,L_d32_ROI,5.39992,1.6132061163375195,242
216,L_8BM_ROI,4.83691,1.4645230662427369,243
219,L_8Av_ROI,6.45003,1.8905254494488892,247
220,L_8BL_ROI,6.55168,1.917369789766352,250
221,L_9p_ROI,6.20043,1.8246095877347852,251
222,L_10d_ROI,6.20327,1.8253595919305707,252
223,L_8C_ROI,5.45579,1.627960600287708,253
224,L_44_ROI,4.60135,1.4023149717500514,254
225,L_45_ROI,5.1757,1.5539927569082872,255
226,L_47l_ROI,5.71482,1.696366792835001,256
228,L_IFJa_ROI,1.40106,0.5571632366337442,259
229,L_IFJp_ROI,1.88867,0.6859342035023913,260
230,L_IFSp_ROI,3.49102,1.1090923806562163,261
231,L_IFSa_ROI,1.282,0.525721159327329,262
232,L_p9-46v_ROI,3.12656,1.0128436027703092,263
233,L_46_ROI,-0.650158,0.015465311820117669,264
234,L_a9-46v_ROI,3.63383,1.1468065000928798,265
242,L_LIPd_ROI,0.362336,0.28285078654111173,275
243,L_6a_ROI,-1.94449,-0.32634962858108346,276
244,L_i6-8_ROI,4.88234,1.4765204925154605,277
245,L_s6-8_ROI,5.23401,1.5693916106604884,278
246,L_OP4_ROI,-4.36701,-0.9661032075860972,280
247,L_OP1_ROI,-5.08156,-1.1548058477616303,281
248,L_OP2-3_ROI,-4.35556,-0.9630794230643565,282
249,L_52_ROI,-3.54366,-0.7486680123044163,283
250,L_RI_ROI,-4.11754,-0.9002216770499694,284
251,L_PFcm_ROI,-3.81303,-0.8198048539307312,285
252,L_TA2_ROI,-3.20893,-0.6602705107356579,287
253,L_FOP4_ROI,-1.35189,-0.1698522742069725,288
254,L_MI_ROI,-1.32795,-0.16353005573968218,289
256,L_FOP1_ROI,-3.33155,-0.6926527341466493,293
257,L_FOP3_ROI,-2.93563,-0.5880958111905271,294
258,L_FOP2_ROI,-4.40487,-0.9761015029566742,295
259,L_PFt_ROI,-3.10661,-0.6332492328086261,296
262,L_H_ROI,0.746789,0.38437943551375786,300
