"dropped_subject","b_3way_L","p_3way_L","converged"
"sub-01",0.0487357724495301,0.323931004558399,TRUE
"sub-02",0.0235694549862279,0.653385489024241,TRUE
"sub-03",0.0222432790381487,0.673326642520837,TRUE
"sub-04",0.0214317712683661,0.663041273430084,TRUE
"sub-05",0.0270736152320488,0.602814158821529,TRUE
"sub-07",-0.00824464460838624,0.871197912138856,TRUE
"sub-09",0.0129036407593784,0.800354141764927,TRUE
"sub-10",0.0246759988727534,0.639532795638808,TRUE
"sub-11",0.0247866043101701,0.633944401845798,TRUE
"sub-13",0.0167397560339201,0.750695294472996,TRUE
"sub-14",0.023252595378913,0.656145365070451,TRUE
"sub-15",0.0303879466994676,0.549791412280459,TRUE
"sub-16",0.021460426737289,0.6846165750827,TRUE
"sub-17",0.0233171494506761,0.658308774610141,TRUE
"sub-18",0.0248524980781149,0.636712249854132,TRUE
"sub-19",0.0100723852034666,0.83829399485018,TRUE
"sub-20",0.0202753301839239,0.700568318772105,TRUE
"sub-21",0.0221767814574679,0.674233314861324,TRUE
"sub-22",0.0272467930183384,0.605782502145567,TRUE
"sub-23",0.029768396867031,0.569134207015014,TRUE
"sub-24",0.0208108047693142,0.692949903667875,TRUE
"sub-25",0.0268734619389742,0.607843722524202,TRUE
"sub-27",0.00800966805122653,0.877656189133653,TRUE
"sub-28",0.0289095257561865,0.581812227869322,TRUE
"sub-29",0.0234269065830107,0.657362668001596,TRUE
"sub-30",0.0285074492749162,0.58621475933412,TRUE
"sub-31",0.0114496020182124,0.827930226719464,TRUE
"sub-32",0.0129144081328339,0.806084078132986,TRUE
"sub-33",0.0336166697993826,0.521223452454909,TRUE
"sub-34",0.0110506070118677,0.833431564311622,TRUE
"sub-35",0.0148117326210178,0.777697677402571,TRUE
"sub-37",0.021129095048811,0.688737103616751,TRUE
"sub-38",0.0261351904655522,0.620269093942822,TRUE
"sub-39",0.0287170025552594,0.585062834587124,TRUE
"sub-40",0.0221184200942099,0.674739782922826,TRUE
