"layer","n_verum","n_placebo","observed_diff","sw_p_verum","sw_p_placebo","test1_method","test1_stat","test1_p_raw","test1_p_fdr","perm_p_raw","perm_p_fdr"
"visual",16,18,-0.26618477205282,0.732956082042027,0.084381733902931,"Welch t-test",-1.13694732786668,0.265200151234916,0.318240181481899,0.282271772822718,0.35960403959604
"auditory",12,14,-0.240130256450184,0.365985237635974,0.00392883613156101,"Mann-Whitney U",40,0.0252603016320124,0.151561809792075,0.0328967103289671,0.197380261973803
"motor",5,6,0.268929654138011,0.606733168926225,0.0330135796500549,"Mann-Whitney U",22,0.235333266509586,0.318240181481899,0.2996700329967,0.35960403959604
"extero",13,18,-0.187741500883342,0.774497615769058,0.269711636850192,"Welch t-test",-1.17043203569712,0.252388092747882,0.318240181481899,0.256274372562744,0.35960403959604
"intero",15,13,-0.000741272258213507,0.241303144602148,0.874203485256782,"Welch t-test",-0.00423140170215352,0.996657636541863,0.996657636541863,0.996700329967003,0.996700329967003
"mental",17,15,0.252401533227493,0.909513270490671,0.80862208329139,"Welch t-test",1.48446770467036,0.149140413188538,0.318240181481899,0.140585941405859,0.35960403959604
