roi_id,count,percent_of_spike_A,cumulative_percent,hemisphere,region,x_mni,y_mni,z_mni
308,34,9.4,9.4,L,TGv,-35.9736,-0.9464,-45.4792
151,31,8.6,18.0,R,TGv,40.7413,-2.2964,-44.3783
240,25,6.9,24.9,L,OFC,-8.9456,34.1053,-24.2094
78,24,6.6,31.6,R,10pp,15.1454,61.7167,-14.4353
237,24,6.6,38.2,L,10pp,-13.5054,61.9024,-15.8372
68,23,6.4,44.6,R,a47r,41.5772,47.8663,-11.313
81,20,5.5,50.1,R,OFC,11.2065,32.0108,-24.1163
272,20,5.5,55.7,L,TGd,-38.0562,13.7701,-35.2283
114,17,4.7,60.4,R,TGd,41.5417,10.9235,-33.6898
76,14,3.9,64.3,R,10v,5.4125,53.3548,-17.2013
117,14,3.9,68.1,R,TE2a,57.3606,-23.512,-27.9846
238,13,3.6,71.7,L,11l,-25.5682,47.5373,-15.7059
236,11,3.0,74.8,L,a10p,-25.5576,61.039,-8.0801
227,10,2.8,77.6,L,a47r,-38.6327,51.9846,-8.1098
79,9,2.5,80.1,R,11l,27.1196,47.6722,-14.717
235,9,2.5,82.5,L,10v,-4.161,53.493,-16.4032
77,7,1.9,84.5,R,a10p,28.2686,58.4186,-4.7343
149,6,1.7,86.1,R,p10p,25.1524,60.9985,5.124
150,5,1.4,87.5,R,p47r,45.7503,42.9602,0.835
102,4,1.1,88.6,R,EC,22.6239,-11.8345,-30.5212
217,4,1.1,89.8,L,10r,-6.9068,50.779,-9.636
19,3,0.8,90.6,R,LO2,43.4308,-86.6462,-4.076
105,3,0.8,91.4,R,PeEc,32.5588,-9.8164,-33.8579
57,2,0.6,92.0,R,47m,36.9813,32.3493,-14.484
63,2,0.6,92.5,R,10d,11.8743,65.1735,10.2165
67,2,0.6,93.1,R,47l,46.8798,29.8741,-10.2486
73,2,0.6,93.6,R,a9-46v,40.0233,51.1867,9.1077
80,2,0.6,94.2,R,13l,23.9275,29.4296,-19.4137
222,2,0.6,94.7,L,10d,-9.816,66.4677,5.7036
302,2,0.6,95.3,L,s32,-4.8068,35.7582,-14.1232
307,2,0.6,95.8,L,p47r,-45.7273,44.1549,-3.8908
24,1,0.3,96.1,R,SFL,8.893,16.3899,63.825
56,1,0.3,96.4,R,10r,7.9251,52.0872,-8.2721
61,1,0.3,96.7,R,8BL,12.6245,35.2704,54.1588
106,1,0.3,97.0,R,STGa,52.2671,12.107,-15.1457
118,1,0.3,97.2,R,TF,43.6867,-24.3762,-27.7948
135,1,0.3,97.5,R,V4t,48.557,-79.1467,0.8519
138,1,0.3,97.8,R,LO3,46.5901,-80.2297,12.4882
144,1,0.3,98.1,R,s32,8.6206,35.6809,-14.1489
207,1,0.3,98.3,L,3a,-31.7214,-20.4365,47.0543
218,1,0.3,98.6,L,47m,-33.333,33.2459,-15.7919
226,1,0.3,98.9,L,47l,-45.7326,32.9212,-13.3976
234,1,0.3,99.2,L,a9-46v,-39.9653,51.3289,9.7597
260,1,0.3,99.4,L,EC,-20.5762,-12.4696,-29.4601
274,1,0.3,99.7,L,TE2a,-55.2157,-17.0669,-30.4349
306,1,0.3,100.0,L,p10p,-24.8883,60.4174,4.6283
