subject,session,atlas,roi_pos_id,roi_name,p0_value,p0_label
sub-09,ses-02,nonself,5,R_V3_ROI,7.790553220800402,lag-3 p0 (ACW-50 ≈ 5.4 s)
sub-09,ses-02,nonself,74,R_9-46d_ROI,7.790553220800402,lag-3 p0 (ACW-50 ≈ 5.4 s)
sub-09,ses-02,nonself,163,L_V2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-09,ses-02,nonself,263,L_ProS_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-01,nonself,91,R_52_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-01,nonself,92,R_RI_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-01,nonself,214,L_p32pr_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-01,nonself,282,L_PGp_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-01,nonself,288,L_PFm_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-01,nonself,293,L_PHA2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-01,nonself,310,L_LBelt_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-02,self,17,Exteroception_R_SPL,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-10,ses-02,nonself,71,R_p9-46v_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-11,ses-02,self,12,Exteroception_R_Fusiform,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-11,ses-02,nonself,31,R_d23ab_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-11,ses-02,nonself,127,R_IP0_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-11,ses-02,nonself,209,L_6mp_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-11,ses-02,nonself,221,L_9p_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-13,ses-01,nonself,27,R_7Pm_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-13,ses-01,nonself,209,L_6mp_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-13,ses-02,self,37,Cognition_R_Premotor,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-13,ses-02,nonself,24,R_SFL_ROI,1.0,NaN fallback (1.0)
sub-13,ses-02,nonself,40,R_SCEF_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-13,ses-02,nonself,61,R_8BL_ROI,1.0,NaN fallback (1.0)
sub-13,ses-02,nonself,92,R_RI_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-13,ses-02,nonself,135,R_V4t_ROI,1.0,NaN fallback (1.0)
sub-14,ses-02,nonself,108,R_A5_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-14,ses-02,nonself,249,L_52_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-14,ses-02,nonself,252,L_TA2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-15,ses-01,self,8,Interoception_R_IPL,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-15,ses-01,self,28,Cognition_L_Insula,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-15,ses-01,nonself,37,R_24dd_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-15,ses-01,nonself,47,R_3a_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-15,ses-01,nonself,125,R_PGp_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-15,ses-01,nonself,262,L_H_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-15,ses-02,nonself,149,R_p10p_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-16,ses-01,nonself,132,R_VMV1_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-16,ses-01,nonself,149,R_p10p_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-16,ses-01,nonself,172,L_RSC_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-16,ses-01,nonself,270,L_STSdp_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-16,ses-01,nonself,291,L_VMV1_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-16,ses-02,self,37,Cognition_R_Premotor,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-16,ses-02,nonself,93,R_PFcm_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-16,ses-02,nonself,147,R_Ig_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-17,ses-01,nonself,53,R_a24_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-17,ses-01,nonself,60,R_9m_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-17,ses-01,nonself,126,R_IP2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-17,ses-01,nonself,134,R_PHA2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-17,ses-01,nonself,155,R_STSva_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-17,ses-01,nonself,305,L_Ig_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-17,ses-01,nonself,311,L_A4_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-17,ses-02,self,4,Interoception_R_Parahippocampal,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-17,ses-02,nonself,24,R_SFL_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-17,ses-02,nonself,141,R_31a_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-17,ses-02,nonself,147,R_Ig_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-17,ses-02,nonself,172,L_RSC_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-17,ses-02,nonself,193,L_5mv_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-17,ses-02,nonself,256,L_FOP1_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-18,ses-01,self,24,Exteroception_R_Cingulate,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-18,ses-01,nonself,29,R_POS1_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-18,ses-01,nonself,147,R_Ig_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-18,ses-01,nonself,294,L_V4t_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-18,ses-02,nonself,16,R_V7_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-18,ses-02,nonself,41,R_6ma_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-18,ses-02,nonself,48,R_6d_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-18,ses-02,nonself,89,R_OP1_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-18,ses-02,nonself,193,L_5mv_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-19,ses-01,nonself,149,R_p10p_ROI,1.0,NaN fallback (1.0)
sub-19,ses-01,nonself,222,L_10d_ROI,1.0,NaN fallback (1.0)
sub-19,ses-02,self,17,Exteroception_R_SPL,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-19,ses-02,nonself,9,R_3b_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-19,ses-02,nonself,63,R_10d_ROI,1.0,NaN fallback (1.0)
sub-19,ses-02,nonself,131,R_V6A_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-19,ses-02,nonself,149,R_p10p_ROI,1.0,NaN fallback (1.0)
sub-19,ses-02,nonself,192,L_5m_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-19,ses-02,nonself,198,L_SCEF_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-19,ses-02,nonself,222,L_10d_ROI,1.0,NaN fallback (1.0)
sub-19,ses-02,nonself,226,L_47l_ROI,1.0,NaN fallback (1.0)
sub-19,ses-02,nonself,234,L_a9-46v_ROI,1.0,NaN fallback (1.0)
sub-19,ses-02,nonself,306,L_p10p_ROI,1.0,NaN fallback (1.0)
sub-20,ses-01,self,1,Interoception_R_Insula,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-01,self,24,Exteroception_R_Cingulate,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-01,nonself,2,R_MST_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-01,nonself,100,R_FOP2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-01,nonself,133,R_VMV3_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-01,nonself,137,R_V3CD_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-01,nonself,262,L_H_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-01,nonself,283,L_IP2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-01,nonself,300,L_VVC_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-02,nonself,2,R_MST_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-02,nonself,21,R_MT_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-02,nonself,45,R_1_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-02,nonself,71,R_p9-46v_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-02,nonself,179,L_LO2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-02,nonself,222,L_10d_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-20,ses-02,nonself,311,L_A4_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-21,ses-01,nonself,27,R_7Pm_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
