column_name,subject,session,atlas,roi_pos_id,roi_name,tau_recorded
sub-13__ses-01__nonself__roi27,sub-13,ses-01,nonself,27,R_7Pm_ROI,5.193702147200268
sub-13__ses-01__nonself__roi209,sub-13,ses-01,nonself,209,L_6mp_ROI,5.193702147200268
sub-13__ses-02__self__roi37,sub-13,ses-02,self,37,Cognition_R_Premotor,5.193702147200268
sub-13__ses-02__nonself__roi40,sub-13,ses-02,nonself,40,R_SCEF_ROI,5.193702147200268
sub-13__ses-02__nonself__roi92,sub-13,ses-02,nonself,92,R_RI_ROI,5.193702147200268
sub-14__ses-02__nonself__roi108,sub-14,ses-02,nonself,108,R_A5_ROI,5.193702147200268
sub-14__ses-02__nonself__roi249,sub-14,ses-02,nonself,249,L_52_ROI,5.193702147200268
sub-14__ses-02__nonself__roi252,sub-14,ses-02,nonself,252,L_TA2_ROI,5.193702147200268
sub-15__ses-01__self__roi8,sub-15,ses-01,self,8,Interoception_R_IPL,5.193702147200268
sub-15__ses-01__self__roi28,sub-15,ses-01,self,28,Cognition_L_Insula,5.193702147200268
sub-15__ses-01__nonself__roi37,sub-15,ses-01,nonself,37,R_24dd_ROI,5.193702147200268
sub-15__ses-01__nonself__roi47,sub-15,ses-01,nonself,47,R_3a_ROI,5.193702147200268
sub-15__ses-01__nonself__roi125,sub-15,ses-01,nonself,125,R_PGp_ROI,5.193702147200268
sub-15__ses-01__nonself__roi262,sub-15,ses-01,nonself,262,L_H_ROI,5.193702147200268
sub-15__ses-02__nonself__roi149,sub-15,ses-02,nonself,149,R_p10p_ROI,5.193702147200268
sub-16__ses-01__nonself__roi132,sub-16,ses-01,nonself,132,R_VMV1_ROI,5.193702147200268
sub-16__ses-01__nonself__roi149,sub-16,ses-01,nonself,149,R_p10p_ROI,5.193702147200268
sub-16__ses-01__nonself__roi172,sub-16,ses-01,nonself,172,L_RSC_ROI,5.193702147200268
sub-16__ses-01__nonself__roi270,sub-16,ses-01,nonself,270,L_STSdp_ROI,5.193702147200268
sub-16__ses-01__nonself__roi291,sub-16,ses-01,nonself,291,L_VMV1_ROI,5.193702147200268
sub-16__ses-02__self__roi37,sub-16,ses-02,self,37,Cognition_R_Premotor,5.193702147200268
sub-16__ses-02__nonself__roi93,sub-16,ses-02,nonself,93,R_PFcm_ROI,5.193702147200268
sub-16__ses-02__nonself__roi147,sub-16,ses-02,nonself,147,R_Ig_ROI,5.193702147200268
sub-17__ses-01__nonself__roi53,sub-17,ses-01,nonself,53,R_a24_ROI,5.193702147200268
sub-17__ses-01__nonself__roi60,sub-17,ses-01,nonself,60,R_9m_ROI,5.193702147200268
sub-17__ses-01__nonself__roi126,sub-17,ses-01,nonself,126,R_IP2_ROI,5.193702147200268
sub-17__ses-01__nonself__roi134,sub-17,ses-01,nonself,134,R_PHA2_ROI,5.193702147200268
sub-17__ses-01__nonself__roi155,sub-17,ses-01,nonself,155,R_STSva_ROI,5.193702147200268
sub-17__ses-01__nonself__roi305,sub-17,ses-01,nonself,305,L_Ig_ROI,5.193702147200268
sub-17__ses-01__nonself__roi311,sub-17,ses-01,nonself,311,L_A4_ROI,5.193702147200268
sub-17__ses-02__self__roi4,sub-17,ses-02,self,4,Interoception_R_Parahippocampal,5.193702147200268
sub-17__ses-02__nonself__roi24,sub-17,ses-02,nonself,24,R_SFL_ROI,5.193702147200268
sub-17__ses-02__nonself__roi141,sub-17,ses-02,nonself,141,R_31a_ROI,5.193702147200268
sub-17__ses-02__nonself__roi147,sub-17,ses-02,nonself,147,R_Ig_ROI,5.193702147200268
sub-17__ses-02__nonself__roi172,sub-17,ses-02,nonself,172,L_RSC_ROI,5.193702147200268
sub-17__ses-02__nonself__roi193,sub-17,ses-02,nonself,193,L_5mv_ROI,5.193702147200268
sub-17__ses-02__nonself__roi256,sub-17,ses-02,nonself,256,L_FOP1_ROI,5.193702147200268
sub-18__ses-01__self__roi24,sub-18,ses-01,self,24,Exteroception_R_Cingulate,5.193702147200268
sub-18__ses-01__nonself__roi29,sub-18,ses-01,nonself,29,R_POS1_ROI,5.193702147200268
sub-18__ses-01__nonself__roi147,sub-18,ses-01,nonself,147,R_Ig_ROI,5.193702147200268
sub-18__ses-01__nonself__roi294,sub-18,ses-01,nonself,294,L_V4t_ROI,5.193702147200268
sub-18__ses-02__nonself__roi16,sub-18,ses-02,nonself,16,R_V7_ROI,5.193702147200268
sub-18__ses-02__nonself__roi41,sub-18,ses-02,nonself,41,R_6ma_ROI,5.193702147200268
sub-18__ses-02__nonself__roi48,sub-18,ses-02,nonself,48,R_6d_ROI,5.193702147200268
sub-18__ses-02__nonself__roi89,sub-18,ses-02,nonself,89,R_OP1_ROI,5.193702147200268
sub-18__ses-02__nonself__roi193,sub-18,ses-02,nonself,193,L_5mv_ROI,5.193702147200268
sub-19__ses-02__self__roi17,sub-19,ses-02,self,17,Exteroception_R_SPL,5.193702147200268
sub-19__ses-02__nonself__roi9,sub-19,ses-02,nonself,9,R_3b_ROI,5.193702147200268
sub-19__ses-02__nonself__roi131,sub-19,ses-02,nonself,131,R_V6A_ROI,5.193702147200268
sub-19__ses-02__nonself__roi192,sub-19,ses-02,nonself,192,L_5m_ROI,5.193702147200268
sub-19__ses-02__nonself__roi198,sub-19,ses-02,nonself,198,L_SCEF_ROI,5.193702147200268
sub-20__ses-01__self__roi1,sub-20,ses-01,self,1,Interoception_R_Insula,5.193702147200268
sub-20__ses-01__self__roi24,sub-20,ses-01,self,24,Exteroception_R_Cingulate,5.193702147200268
sub-20__ses-01__nonself__roi2,sub-20,ses-01,nonself,2,R_MST_ROI,5.193702147200268
sub-20__ses-01__nonself__roi100,sub-20,ses-01,nonself,100,R_FOP2_ROI,5.193702147200268
sub-20__ses-01__nonself__roi133,sub-20,ses-01,nonself,133,R_VMV3_ROI,5.193702147200268
sub-20__ses-01__nonself__roi137,sub-20,ses-01,nonself,137,R_V3CD_ROI,5.193702147200268
sub-20__ses-01__nonself__roi262,sub-20,ses-01,nonself,262,L_H_ROI,5.193702147200268
sub-20__ses-01__nonself__roi283,sub-20,ses-01,nonself,283,L_IP2_ROI,5.193702147200268
sub-20__ses-01__nonself__roi300,sub-20,ses-01,nonself,300,L_VVC_ROI,5.193702147200268
sub-20__ses-02__nonself__roi2,sub-20,ses-02,nonself,2,R_MST_ROI,5.193702147200268
sub-20__ses-02__nonself__roi21,sub-20,ses-02,nonself,21,R_MT_ROI,5.193702147200268
sub-20__ses-02__nonself__roi45,sub-20,ses-02,nonself,45,R_1_ROI,5.193702147200268
sub-20__ses-02__nonself__roi71,sub-20,ses-02,nonself,71,R_p9-46v_ROI,5.193702147200268
sub-20__ses-02__nonself__roi179,sub-20,ses-02,nonself,179,L_LO2_ROI,5.193702147200268
sub-20__ses-02__nonself__roi222,sub-20,ses-02,nonself,222,L_10d_ROI,5.193702147200268
sub-20__ses-02__nonself__roi311,sub-20,ses-02,nonself,311,L_A4_ROI,5.193702147200268
sub-21__ses-01__nonself__roi27,sub-21,ses-01,nonself,27,R_7Pm_ROI,5.193702147200268
sub-21__ses-01__nonself__roi62,sub-21,ses-01,nonself,62,R_9p_ROI,5.193702147200268
sub-21__ses-01__nonself__roi97,sub-21,ses-01,nonself,97,R_AAIC_ROI,5.193702147200268
sub-21__ses-01__nonself__roi104,sub-21,ses-01,nonself,104,R_ProS_ROI,5.193702147200268
sub-21__ses-01__nonself__roi135,sub-21,ses-01,nonself,135,R_V4t_ROI,5.193702147200268
sub-21__ses-01__nonself__roi172,sub-21,ses-01,nonself,172,L_RSC_ROI,5.193702147200268
sub-21__ses-02__nonself__roi59,sub-21,ses-02,nonself,59,R_8Ad_ROI,5.193702147200268
sub-21__ses-02__nonself__roi67,sub-21,ses-02,nonself,67,R_47l_ROI,5.193702147200268
sub-21__ses-02__nonself__roi69,sub-21,ses-02,nonself,69,R_IFJp_ROI,5.193702147200268
sub-21__ses-02__nonself__roi70,sub-21,ses-02,nonself,70,R_IFSp_ROI,5.193702147200268
sub-22__ses-01__nonself__roi47,sub-22,ses-01,nonself,47,R_3a_ROI,5.193702147200268
sub-22__ses-01__nonself__roi59,sub-22,ses-01,nonself,59,R_8Ad_ROI,5.193702147200268
sub-22__ses-01__nonself__roi200,sub-22,ses-01,nonself,200,L_7Am_ROI,5.193702147200268
sub-22__ses-01__nonself__roi223,sub-22,ses-01,nonself,223,L_8C_ROI,5.193702147200268
sub-22__ses-02__self__roi3,sub-22,ses-02,self,3,Interoception_R_Thalamus,5.193702147200268
sub-22__ses-02__self__roi12,sub-22,ses-02,self,12,Exteroception_R_Fusiform,5.193702147200268
sub-22__ses-02__nonself__roi54,sub-22,ses-02,nonself,54,R_d32_ROI,5.193702147200268
sub-22__ses-02__nonself__roi69,sub-22,ses-02,nonself,69,R_IFJp_ROI,5.193702147200268
sub-22__ses-02__nonself__roi233,sub-22,ses-02,nonself,233,L_46_ROI,5.193702147200268
sub-22__ses-02__nonself__roi281,sub-22,ses-02,nonself,281,L_DVT_ROI,5.193702147200268
sub-23__ses-01__self__roi11,sub-23,ses-01,self,11,Interoception_L_Postcentral,5.193702147200268
sub-23__ses-01__self__roi33,sub-23,ses-01,self,33,Cognition_L_ITG,5.193702147200268
sub-23__ses-01__nonself__roi6,sub-23,ses-01,nonself,6,R_V4_ROI,5.193702147200268
sub-23__ses-01__nonself__roi9,sub-23,ses-01,nonself,9,R_3b_ROI,5.193702147200268
sub-23__ses-01__nonself__roi13,sub-23,ses-01,nonself,13,R_V3A_ROI,5.193702147200268
sub-23__ses-01__nonself__roi90,sub-23,ses-01,nonself,90,R_OP2-3_ROI,5.193702147200268
sub-23__ses-01__nonself__roi113,sub-23,ses-01,nonself,113,R_STSvp_ROI,5.193702147200268
sub-23__ses-01__nonself__roi134,sub-23,ses-01,nonself,134,R_PHA2_ROI,5.193702147200268
sub-23__ses-01__nonself__roi168,sub-23,ses-01,nonself,168,L_FEF_ROI,5.193702147200268
sub-23__ses-01__nonself__roi202,sub-23,ses-01,nonself,202,L_7PC_ROI,5.193702147200268
sub-23__ses-01__nonself__roi277,sub-23,ses-01,nonself,277,L_PHT_ROI,5.193702147200268
sub-23__ses-02__nonself__roi18,sub-23,ses-02,nonself,18,R_V3B_ROI,5.193702147200268
sub-23__ses-02__nonself__roi41,sub-23,ses-02,nonself,41,R_6ma_ROI,5.193702147200268
sub-23__ses-02__nonself__roi112,sub-23,ses-02,nonself,112,R_STSdp_ROI,5.193702147200268
sub-23__ses-02__nonself__roi169,sub-23,ses-02,nonself,169,L_PEF_ROI,5.193702147200268
sub-23__ses-02__nonself__roi254,sub-23,ses-02,nonself,254,L_MI_ROI,5.193702147200268
sub-23__ses-02__nonself__roi281,sub-23,ses-02,nonself,281,L_DVT_ROI,5.193702147200268
sub-23__ses-02__nonself__roi311,sub-23,ses-02,nonself,311,L_A4_ROI,5.193702147200268
sub-24__ses-01__nonself__roi10,sub-24,ses-01,nonself,10,R_FEF_ROI,5.193702147200268
sub-24__ses-02__self__roi28,sub-24,ses-02,self,28,Cognition_L_Insula,5.193702147200268
sub-24__ses-02__nonself__roi191,sub-24,ses-02,nonself,191,L_31pv_ROI,5.193702147200268
sub-24__ses-02__nonself__roi220,sub-24,ses-02,nonself,220,L_8BL_ROI,5.193702147200268
sub-24__ses-02__nonself__roi244,sub-24,ses-02,nonself,244,L_i6-8_ROI,5.193702147200268
sub-24__ses-02__nonself__roi249,sub-24,ses-02,nonself,249,L_52_ROI,5.193702147200268
sub-25__ses-01__nonself__roi269,sub-25,ses-01,nonself,269,L_STSda_ROI,5.193702147200268
sub-25__ses-02__nonself__roi11,sub-25,ses-02,nonself,11,R_PEF_ROI,5.193702147200268
sub-25__ses-02__nonself__roi209,sub-25,ses-02,nonself,209,L_6mp_ROI,5.193702147200268
sub-25__ses-02__nonself__roi299,sub-25,ses-02,nonself,299,L_31a_ROI,5.193702147200268
sub-27__ses-01__nonself__roi18,sub-27,ses-01,nonself,18,R_V3B_ROI,5.193702147200268
sub-27__ses-01__nonself__roi100,sub-27,ses-01,nonself,100,R_FOP2_ROI,5.193702147200268
sub-27__ses-01__nonself__roi161,sub-27,ses-01,nonself,161,L_MST_ROI,5.193702147200268
sub-27__ses-01__nonself__roi292,sub-27,ses-01,nonself,292,L_VMV3_ROI,5.193702147200268
sub-27__ses-02__nonself__roi247,sub-27,ses-02,nonself,247,L_OP1_ROI,5.193702147200268
sub-28__ses-01__self__roi6,sub-28,ses-01,self,6,Interoception_L_Insula_1,5.193702147200268
sub-28__ses-01__nonself__roi60,sub-28,ses-01,nonself,60,R_9m_ROI,5.193702147200268
sub-28__ses-02__nonself__roi52,sub-28,ses-02,nonself,52,R_a24pr_ROI,5.193702147200268
sub-28__ses-02__nonself__roi214,sub-28,ses-02,nonself,214,L_p32pr_ROI,5.193702147200268
sub-28__ses-02__nonself__roi257,sub-28,ses-02,nonself,257,L_FOP3_ROI,5.193702147200268
sub-29__ses-01__nonself__roi10,sub-29,ses-01,nonself,10,R_FEF_ROI,5.193702147200268
sub-29__ses-01__nonself__roi23,sub-29,ses-01,nonself,23,R_PSL_ROI,5.193702147200268
sub-29__ses-01__nonself__roi69,sub-29,ses-01,nonself,69,R_IFJp_ROI,5.193702147200268
sub-29__ses-01__nonself__roi164,sub-29,ses-01,nonself,164,L_V3_ROI,5.193702147200268
sub-29__ses-01__nonself__roi187,sub-29,ses-01,nonself,187,L_7Pm_ROI,5.193702147200268
sub-29__ses-01__nonself__roi256,sub-29,ses-01,nonself,256,L_FOP1_ROI,5.193702147200268
sub-29__ses-01__nonself__roi269,sub-29,ses-01,nonself,269,L_STSda_ROI,5.193702147200268
sub-29__ses-01__nonself__roi280,sub-29,ses-01,nonself,280,L_TPOJ3_ROI,5.193702147200268
sub-29__ses-02__self__roi18,sub-29,ses-02,self,18,Exteroception_R_Postcentral,5.193702147200268
sub-29__ses-02__self__roi27,sub-29,ses-02,self,27,Cognition_L_PCC,5.193702147200268
sub-29__ses-02__nonself__roi54,sub-29,ses-02,nonself,54,R_d32_ROI,5.193702147200268
sub-29__ses-02__nonself__roi134,sub-29,ses-02,nonself,134,R_PHA2_ROI,5.193702147200268
sub-29__ses-02__nonself__roi254,sub-29,ses-02,nonself,254,L_MI_ROI,5.193702147200268
sub-29__ses-02__nonself__roi280,sub-29,ses-02,nonself,280,L_TPOJ3_ROI,5.193702147200268
sub-29__ses-02__nonself__roi315,sub-29,ses-02,nonself,315,L_a32pr_ROI,5.193702147200268
sub-30__ses-01__nonself__roi110,sub-30,ses-01,nonself,110,R_PHA3_ROI,5.193702147200268
sub-30__ses-01__nonself__roi137,sub-30,ses-01,nonself,137,R_V3CD_ROI,5.193702147200268
sub-30__ses-01__nonself__roi203,sub-30,ses-01,nonself,203,L_LIPv_ROI,5.193702147200268
sub-30__ses-01__nonself__roi289,sub-30,ses-01,nonself,289,L_PGs_ROI,5.193702147200268
sub-30__ses-01__nonself__roi290,sub-30,ses-01,nonself,290,L_V6A_ROI,5.193702147200268
sub-30__ses-02__self__roi19,sub-30,ses-02,self,19,Exteroception_R_IPL,5.193702147200268
sub-30__ses-02__nonself__roi11,sub-30,ses-02,nonself,11,R_PEF_ROI,5.193702147200268
sub-30__ses-02__nonself__roi101,sub-30,ses-02,nonself,101,R_AIP_ROI,5.193702147200268
sub-30__ses-02__nonself__roi179,sub-30,ses-02,nonself,179,L_LO2_ROI,5.193702147200268
sub-31__ses-01__nonself__roi71,sub-31,ses-01,nonself,71,R_p9-46v_ROI,5.193702147200268
sub-31__ses-01__nonself__roi179,sub-31,ses-01,nonself,179,L_LO2_ROI,5.193702147200268
sub-31__ses-01__nonself__roi206,sub-31,ses-01,nonself,206,L_2_ROI,5.193702147200268
sub-31__ses-01__nonself__roi214,sub-31,ses-01,nonself,214,L_p32pr_ROI,5.193702147200268
sub-31__ses-02__nonself__roi49,sub-31,ses-02,nonself,49,R_6mp_ROI,5.193702147200268
sub-31__ses-02__nonself__roi88,sub-31,ses-02,nonself,88,R_OP4_ROI,5.193702147200268
sub-31__ses-02__nonself__roi92,sub-31,ses-02,nonself,92,R_RI_ROI,5.193702147200268
sub-31__ses-02__nonself__roi167,sub-31,ses-02,nonself,167,L_4_ROI,5.193702147200268
sub-31__ses-02__nonself__roi252,sub-31,ses-02,nonself,252,L_TA2_ROI,5.193702147200268
sub-32__ses-02__nonself__roi39,sub-32,ses-02,nonself,39,R_7AL_ROI,5.193702147200268
sub-32__ses-02__nonself__roi167,sub-32,ses-02,nonself,167,L_4_ROI,5.193702147200268
sub-32__ses-02__nonself__roi230,sub-32,ses-02,nonself,230,L_IFSp_ROI,5.193702147200268
sub-33__ses-01__nonself__roi131,sub-33,ses-01,nonself,131,R_V6A_ROI,5.193702147200268
sub-33__ses-02__nonself__roi51,sub-33,ses-02,nonself,51,R_33pr_ROI,5.193702147200268
sub-33__ses-02__nonself__roi148,sub-33,ses-02,nonself,148,R_FOP5_ROI,5.193702147200268
sub-33__ses-02__nonself__roi198,sub-33,ses-02,nonself,198,L_SCEF_ROI,5.193702147200268
sub-33__ses-02__nonself__roi220,sub-33,ses-02,nonself,220,L_8BL_ROI,5.193702147200268
sub-33__ses-02__nonself__roi292,sub-33,ses-02,nonself,292,L_VMV3_ROI,5.193702147200268
sub-34__ses-01__self__roi7,sub-34,ses-01,self,7,Interoception_L_Insula_2,5.193702147200268
sub-34__ses-01__self__roi17,sub-34,ses-01,self,17,Exteroception_R_SPL,5.193702147200268
sub-34__ses-01__self__roi33,sub-34,ses-01,self,33,Cognition_L_ITG,5.193702147200268
sub-34__ses-01__nonself__roi40,sub-34,ses-01,nonself,40,R_SCEF_ROI,5.193702147200268
sub-34__ses-01__nonself__roi61,sub-34,ses-01,nonself,61,R_8BL_ROI,5.193702147200268
sub-34__ses-01__nonself__roi92,sub-34,ses-01,nonself,92,R_RI_ROI,5.193702147200268
sub-34__ses-01__nonself__roi141,sub-34,ses-01,nonself,141,R_31a_ROI,5.193702147200268
sub-34__ses-01__nonself__roi214,sub-34,ses-01,nonself,214,L_p32pr_ROI,5.193702147200268
sub-34__ses-01__nonself__roi219,sub-34,ses-01,nonself,219,L_8Av_ROI,5.193702147200268
sub-34__ses-01__nonself__roi226,sub-34,ses-01,nonself,226,L_47l_ROI,5.193702147200268
sub-34__ses-01__nonself__roi229,sub-34,ses-01,nonself,229,L_IFJp_ROI,5.193702147200268
sub-34__ses-02__nonself__roi14,sub-34,ses-02,nonself,14,R_RSC_ROI,5.193702147200268
sub-34__ses-02__nonself__roi167,sub-34,ses-02,nonself,167,L_4_ROI,5.193702147200268
sub-35__ses-01__self__roi32,sub-35,ses-01,self,32,Cognition_Cingulate,5.193702147200268
sub-35__ses-01__nonself__roi283,sub-35,ses-01,nonself,283,L_IP2_ROI,5.193702147200268
sub-35__ses-01__nonself__roi304,sub-35,ses-01,nonself,304,L_PoI1_ROI,5.193702147200268
sub-35__ses-01__nonself__roi315,sub-35,ses-01,nonself,315,L_a32pr_ROI,5.193702147200268
sub-35__ses-02__nonself__roi5,sub-35,ses-02,nonself,5,R_V3_ROI,5.193702147200268
sub-35__ses-02__nonself__roi132,sub-35,ses-02,nonself,132,R_VMV1_ROI,5.193702147200268
sub-35__ses-02__nonself__roi152,sub-35,ses-02,nonself,152,R_MBelt_ROI,5.193702147200268
sub-35__ses-02__nonself__roi211,sub-35,ses-02,nonself,211,L_p24pr_ROI,5.193702147200268
sub-37__ses-01__nonself__roi214,sub-37,ses-01,nonself,214,L_p32pr_ROI,5.193702147200268
sub-37__ses-01__nonself__roi315,sub-37,ses-01,nonself,315,L_a32pr_ROI,5.193702147200268
sub-37__ses-02__self__roi11,sub-37,ses-02,self,11,Interoception_L_Postcentral,5.193702147200268
sub-37__ses-02__self__roi19,sub-37,ses-02,self,19,Exteroception_R_IPL,5.193702147200268
sub-37__ses-02__self__roi24,sub-37,ses-02,self,24,Exteroception_R_Cingulate,5.193702147200268
sub-37__ses-02__nonself__roi176,sub-37,ses-02,nonself,176,L_FFC_ROI,5.193702147200268
sub-37__ses-02__nonself__roi193,sub-37,ses-02,nonself,193,L_5mv_ROI,5.193702147200268
sub-38__ses-01__nonself__roi2,sub-38,ses-01,nonself,2,R_MST_ROI,5.193702147200268
sub-38__ses-01__nonself__roi113,sub-38,ses-01,nonself,113,R_STSvp_ROI,5.193702147200268
sub-38__ses-01__nonself__roi290,sub-38,ses-01,nonself,290,L_V6A_ROI,5.193702147200268
sub-38__ses-02__self__roi3,sub-38,ses-02,self,3,Interoception_R_Thalamus,5.193702147200268
sub-38__ses-02__nonself__roi22,sub-38,ses-02,nonself,22,R_A1_ROI,5.193702147200268
sub-38__ses-02__nonself__roi30,sub-38,ses-02,nonself,30,R_v23ab_ROI,5.193702147200268
sub-39__ses-01__nonself__roi252,sub-39,ses-01,nonself,252,L_TA2_ROI,5.193702147200268
sub-39__ses-01__nonself__roi279,sub-39,ses-01,nonself,279,L_TPOJ2_ROI,5.193702147200268
sub-39__ses-02__nonself__roi11,sub-39,ses-02,nonself,11,R_PEF_ROI,5.193702147200268
sub-39__ses-02__nonself__roi21,sub-39,ses-02,nonself,21,R_MT_ROI,5.193702147200268
sub-39__ses-02__nonself__roi121,sub-39,ses-02,nonself,121,R_TPOJ1_ROI,5.193702147200268
sub-39__ses-02__nonself__roi266,sub-39,ses-02,nonself,266,L_A5_ROI,5.193702147200268
