roi_id,sampen
1,4.770073905978145
2,5.251087854336913
3,5.10013667128545
4,4.884522782580064
5,4.673913423630904
6,4.848473909383197
7,4.667702931729092
13,5.451211111832329
16,5.224966365000275
17,4.639870841823546
18,4.787591667236175
19,6.734709620225839
20,4.418348712669255
21,5.4329594072761065
22,5.4860122177406145
23,4.74225989383572
48,4.296102107519458
49,4.660911353954455
121,6.2992080183872785
142,4.404983834614922
152,5.369233809665719
153,6.491853096329675
154,5.318919345015025
156,5.111249094114705
157,5.564784618783526
158,5.3339007365534385
159,4.984893107609792
160,5.328470940754134
163,6.164906926675688
181,4.9031866268451
182,5.435386144670646
183,5.186526968779442
184,5.594946589293778
185,5.3474631869945
186,4.945960160287111
187,5.867278739709662
193,4.834094770010025
196,4.855717943619004
198,4.900004210023279
199,5.006134786172102
201,5.453956488571146
202,5.2970369193456515
203,4.685981665447402
229,4.690315500867385
301,6.417852514885898
322,4.681824039973745
332,5.1645717669481055
333,6.693486957499325
334,6.611024797307352
336,5.476813696865534
337,5.1985814600653795
338,4.664482840364682
339,4.74075717332858
340,5.160647187854302
343,4.400377192572712
