"region","effect","dz","ci_low","ci_high","p","q","survives","n","singular","KR_df"
"intero",0.2391,0.505,0.0751,0.4031,0.007,0.014,"yes",18,FALSE,15.8
"extero",0.2104,1.084,0.0977,0.323,0.0012,0.0072,"yes",18,FALSE,14.8
"cognition",0.0899,0.069,-0.1225,0.3022,0.7756,0.7756,"no",18,TRUE,16.4
"visual",0.3598,0.792,0.1369,0.5827,0.0036,0.0108,"yes",18,FALSE,15.4
"motor",0.3252,0.602,0.0752,0.5753,0.0142,0.0213,"yes",18,FALSE,15.3
"auditory",0.0361,0.05,-0.1906,0.2628,0.74,0.7756,"no",18,FALSE,15.8
