"region","effect","dz","ci_low","ci_high","p","q","survives","n","singular","KR_df"
"intero",-0.0304,-0.022,-0.2639,0.2031,0.7927,0.8645,"no",35,FALSE,31.8
"extero",-0.0964,-0.258,-0.2977,0.1049,0.3365,0.772,"no",35,FALSE,31.6
"cognition",-0.1046,-0.146,-0.3915,0.1823,0.4632,0.772,"no",35,FALSE,31.9
"visual",-0.1529,-0.336,-0.4366,0.1307,0.2802,0.772,"no",35,FALSE,31.6
"auditory",0.0214,0.105,-0.2327,0.2756,0.8645,0.8645,"no",35,FALSE,31.6
