"region","effect","dz","ci_low","ci_high","p","q","survives","n","singular","KR_df"
"intero",0.0369,-0.002,-0.3331,0.407,0.8395,0.9923,"no",28,FALSE,27.8
"extero",-0.1658,-0.425,-0.5002,0.1687,0.3188,0.8115,"no",31,FALSE,28.2
"cognition",0.1656,0.532,-0.172,0.5031,0.3246,0.8115,"no",32,FALSE,30.4
"visual",-0.0738,-0.165,-0.5954,0.4478,0.7748,0.9923,"no",35,FALSE,31.6
"auditory",0.0016,-0.106,-0.3431,0.3464,0.9923,0.9923,"no",28,FALSE,27
