"region","effect","dz","ci_low","ci_high","p","q","survives","n","singular","KR_df"
"intero",0.1251,0.314,-0.0559,0.3062,0.1624,0.2707,"no",18,FALSE,16.3
"extero",0.1632,0.539,0.0068,0.3195,0.0419,0.1047,"no",18,FALSE,16
"cognition",0.0748,0.085,-0.106,0.2556,0.3938,0.4922,"no",18,FALSE,16.1
"visual",0.3172,0.826,0.123,0.5114,0.0032,0.016,"yes",18,FALSE,16
"auditory",0.0096,0.1,-0.1062,0.1254,0.8622,0.8622,"no",18,FALSE,15.3
