"region","effect","dz","ci_low","ci_high","p","q","survives","n","singular","KR_df"
"intero",0.051,0.212,-0.1646,0.2666,0.6329,0.6329,"no",35,FALSE,31.9
"extero",-0.2081,-0.75,-0.3794,-0.0369,0.0188,0.094,"no",35,FALSE,31.7
"cognition",0.1629,0.526,-0.0876,0.4134,0.1947,0.3245,"no",35,FALSE,31.9
"visual",-0.1913,-0.57,-0.4271,0.0444,0.108,0.27,"no",35,FALSE,31.7
"auditory",-0.0527,-0.174,-0.1861,0.0807,0.4266,0.5332,"no",35,FALSE,31.4
