"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",20,-0.145377419131466,0.885944067745744
"intero","verum_prepost_pairedt",19,0,1
"extero","placebo_prepost_pairedt",20,2.32165262732947,0.031520030372974
"extero","verum_prepost_pairedt",19,-0.29292262550289,0.772931363394026
"mental","placebo_prepost_pairedt",20,0.685330234065096,0.501412193093486
"mental","verum_prepost_pairedt",19,0.252223569167338,0.803725810085336
"visual","placebo_prepost_pairedt",20,2.01205811123078,0.0586114001468844
"visual","verum_prepost_pairedt",19,1.25780972434598,0.22453412542631
"motor","placebo_prepost_pairedt",20,2.98394879748737,0.00762790516612633
"motor","verum_prepost_pairedt",19,0.196352277469526,0.846534272449234
"auditory","placebo_prepost_pairedt",20,0.221321258351865,0.827203491776735
"auditory","verum_prepost_pairedt",19,0.957926081502314,0.350790738578304
"Pooled","baseline_welch_t",39,0.28155964797855,0.779850731374316
"Pooled","baseline_mannwhitney",39,181,0.811134703998407
"Pooled","baseline_cohens_d",39,0.0901287671122671,NA
"intero","baseline_welch_t",39,-0.287178765270271,0.775670242738945
"intero","baseline_mannwhitney",39,183.5,0.862191086615689
"intero","baseline_cohens_d",39,-0.0924604585214723,NA
"extero","baseline_welch_t",39,-1.05055856937176,0.302239028828055
"extero","baseline_mannwhitney",39,153.5,0.304691197383891
"extero","baseline_cohens_d",39,-0.340958213885357,NA
"mental","baseline_welch_t",39,-0.0300540531443627,0.976186005523201
"mental","baseline_mannwhitney",39,179,0.765988184151682
"mental","baseline_cohens_d",39,-0.00960037659585259,NA
"visual","baseline_welch_t",39,1.16430296182577,0.253776896436073
"visual","baseline_mannwhitney",39,178.5,0.756967759609569
"visual","baseline_cohens_d",39,0.36746285866769,NA
"motor","baseline_welch_t",39,-0.828335829388811,0.415133661441346
"motor","baseline_mannwhitney",39,154.5,0.316142793500579
"motor","baseline_cohens_d",39,-0.269767686054192,NA
"auditory","baseline_welch_t",39,-0.931561270526483,0.359092004140095
"auditory","baseline_mannwhitney",39,151.5,0.272605230065045
"auditory","baseline_cohens_d",39,-0.302005871387573,NA
