Timepoint,1,2,3,4,5,6,7,13,16,17,18,19,20,21,22,23,48,49,121,142,152,153,154,156,157,158,159,160,163,181,182,183,184,185,186,187,193,196,198,199,201,202,203,229,301,322,332,333,334,336,337,338,339,340,343
0,4.9105654,-0.8771917,0.62446755,2.711445,2.004381,2.1479535,2.3317585,1.1798791,1.5465989,5.245133,-0.9968646,-2.5405183,4.7259984,4.5562825,2.625927,-1.3586335,-0.69547576,0.9049405,1.4249458,-4.0019135,-0.06488209,-1.0459214,-4.33827,2.0573866,0.7798199,2.310146,5.3264337,-1.9653875,-1.4681623,2.201153,3.2670784,1.7456162,3.9027383,2.339261,4.9636827,2.4461298,0.56388354,2.509382,3.8225534,12.174207,1.0735037,1.5520341,-1.177571,-1.4780532,-2.5357006,-3.60568,0.38831455,-2.26069,-0.8649548,-2.7755399,4.7811813,3.5208185,4.051388,-9.715762,2.19301
1,6.3524575,-0.14195485,-0.05350819,2.3521817,0.07086308,1.2537792,0.028823055,3.3702025,2.9138076,5.7427063,-0.30233642,-3.674639,6.120546,4.6834474,3.3173685,0.8160708,-1.252595,0.60449207,-1.781868,-3.184626,2.770345,0.21424891,-3.2237222,2.448242,1.9779595,3.2766206,7.9302697,-2.7179646,0.022797024,3.1049724,4.3162484,5.182321,4.149315,1.8614318,5.539861,4.982822,-0.7434338,1.6116683,4.925324,10.002509,1.0161734,3.4934368,-0.019012976,-0.3672153,-1.9557408,-0.06781737,4.391383,-5.655494,0.66228473,-1.4438924,5.048942,2.581827,5.6495104,-6.01553,3.1529155
2,4.944677,-0.8776841,-1.422343,0.23350936,-2.3612938,-1.3984364,-3.273587,2.7239602,1.1181871,2.2448733,0.13138412,-3.954798,4.144642,2.6153493,1.4200698,1.757501,-1.6682451,-1.7200084,-6.2258363,-1.3909149,4.931077,0.1574766,-1.9061663,1.8384696,1.9196818,0.9426245,5.889559,-3.4008656,1.942409,1.9714755,4.620816,7.458036,1.030963,-0.7322481,3.0554483,6.796208,-3.772606,-1.366869,3.797407,2.8370721,0.62049496,4.394658,0.3699695,0.07899613,-1.2798988,4.4000072,7.3206987,-7.7451353,-0.0748164,-0.18008997,3.694463,-1.9565698,3.9488025,0.26286268,3.285025
3,2.6295178,-1.6865377,-1.0242685,-1.2892271,-2.1909056,-2.8930452,-3.669026,0.6586973,-1.0120102,-2.178798,1.7258568,-2.5830913,0.5128156,0.71048313,-0.6495756,1.253732,-0.900346,-2.863664,-8.369815,1.2017127,5.251248,-0.3326553,-0.5478918,1.2643682,1.8857778,-2.2429655,1.8535935,-1.6499423,4.552016,0.6779552,5.2380896,7.9109354,-2.5481586,-2.4510586,0.37380156,7.9111123,-5.355543,-3.2668,3.6872487,-3.1860912,1.6918477,4.665149,1.5486113,0.493855,1.0983751,8.30014,8.129752,-5.646037,0.61507136,1.2375609,1.9540861,-5.4775276,0.75037944,5.8659153,3.9386096
4,2.2367504,-0.35738862,2.4391167,0.1421533,1.9152243,-0.716197,0.86068267,0.2948203,0.36724082,-3.1443594,5.5223002,0.119161054,-1.401738,1.4790654,0.44421673,0.5555543,1.5728216,0.26434854,-5.866533,4.3564606,3.8786592,0.72529846,1.6486493,1.8658166,3.9513645,-2.1868062,0.8185955,3.6565578,7.8982735,1.5179093,6.6961536,6.9385467,-2.6793854,-0.39876616,0.95139086,8.804866,-2.8114877,-1.175184,7.6635327,-3.4352927,4.932548,5.365074,5.0067306,2.0438397,5.6075993,10.910953,7.248185,1.071917,6.3514795,3.421985,1.4524224,-3.327097,-0.48854598,8.872655,6.193858
5,4.409213,3.8556468,6.955726,4.2626414,7.792609,4.613712,8.302811,3.1941195,5.790559,1.0420767,10.526096,2.601317,0.5441143,5.0160418,5.5509763,0.9315303,4.9047437,7.1140237,0.15422231,7.3252673,1.8650789,4.140737,5.3220477,3.77398,8.386173,2.887154,5.2478375,10.6118145,11.199327,4.5443144,8.264621,4.892322,1.651569,4.9234,5.3661885,9.703502,3.0233452,4.520548,14.893519,1.272949,8.740147,6.939656,9.937907,4.9521666,9.808834,11.738815,5.547767,9.038331,16.299938,6.075858,2.7119062,4.3553567,1.8899442,9.635926,9.480119
6,6.5227494,9.114727,8.314414,7.886235,11.31345,9.631893,14.155907,7.503113,11.215281,7.6772027,13.871084,3.4076686,5.2709417,8.4395275,11.598249,2.2358277,7.1391697,13.2376995,5.84961,8.768159,0.2068105,8.278414,9.641986,5.786541,12.43836,10.243023,12.275774,15.25402,13.002452,7.0410337,8.648924,1.4472792,7.1780176,9.409714,10.408437,10.231764,8.035713,9.955591,20.40849,5.9919224,10.305572,8.446027,13.242409,7.8673863,9.98641,9.849852,3.232155,13.198491,24.898117,7.5555944,4.5838013,12.109925,5.869979,9.540318,11.754173
7,5.105353,12.483675,4.0412908,7.634437,9.975625,10.847103,15.25743,9.561524,11.627384,11.985601,13.045956,2.785112,9.286777,8.259299,13.928127,3.0301366,6.593459,14.002987,7.9958205,7.5956554,-0.67015404,10.323853,12.387122,6.210439,12.3673115,14.600452,16.009024,14.789859,12.244125,6.026355,7.4623594,-3.5109403,9.177631,9.002477,11.85369,9.743673,8.489369,11.046143,19.25157,6.6647997,8.193625,8.276355,12.241138,8.945977,5.145018,4.5652566,0.031259764,11.07319,26.44737,6.196149,5.213957,13.906409,7.6102986,9.266505,11.290612
8,-0.35960448,12.741365,-3.523862,3.2615156,5.1703906,7.7894993,12.225073,7.487371,6.225336,11.310957,8.21879,2.722002,9.66077,3.7555232,10.50703,2.1537123,3.2765503,8.874538,6.747375,4.1846,-0.7097852,8.935996,11.6334305,4.2414737,7.223668,12.685728,12.952081,10.162624,9.27308,1.4852883,5.879026,-8.483912,5.9705997,3.8708918,8.360921,7.924833,4.61715,7.2870946,11.339901,3.780363,3.8965967,5.8608904,7.554522,7.644747,-0.7752154,-2.8521674,-3.5668583,5.2542305,20.289932,2.2587752,3.6974494,8.777286,5.3223844,8.457668,8.386303
