roi_id,sampen
1,5.495410915742864
2,5.071462362556624
3,4.80161855250846
4,4.992768430768924
5,4.838208711583723
6,4.826767625294053
7,8.189824558880018
13,6.2223924213364485
16,5.049243519019849
17,5.014167331926594
18,5.006746832440585
19,5.617651119427331
20,4.8738131983590876
21,4.836501267717121
22,5.4757334309663985
23,5.285402218862249
48,5.140778655782796
49,4.206355457973302
121,7.554588851677638
142,5.672425341971496
152,4.744460130713131
153,5.994353436858859
154,5.0945175987842894
156,4.424026282506099
157,6.157852169141737
158,5.531381460516312
159,5.293169101905939
160,6.312882955284356
163,6.022367813028454
181,4.979040381364354
182,5.333155350310617
183,6.339850002884625
184,6.90086680798075
185,5.525520809095069
186,4.4605618145751516
187,7.581200581924957
193,6.159871336778389
196,5.371968777386958
198,5.2935993718288685
199,5.246344743080895
201,5.8988532765431
202,5.216525414304452
203,5.5584207132686645
229,5.19377174339668
301,7.577428828035749
322,5.465974464504069
332,5.617161323109304
333,5.874469117916141
334,6.026062296586196
336,5.074347341460082
337,5.089956696738897
338,5.0122435957547475
339,5.6048620581588615
340,5.78135971352466
343,5.1799090900149345
