ROI_Number	ROI_Name	X	Y	Z
143	R_PGp_ROI	38.5151	-84.3788	24.8774
144	R_IP2_ROI	39.4254	-50.9579	41.9790
146	R_IP0_ROI	31.0790	-77.3146	26.9466
147	R_PFop_ROI	63.4426	-23.2863	26.1464
149	R_PFm_ROI	50.4963	-57.4956	43.5726
151	R_PGs_ROI	41.5961	-74.7819	38.5093
152	R_V6A_ROI	21.8814	-86.0152	42.4386
153	R_VMV1_ROI	19.9836	-55.4622	-6.6213
154	R_VMV3_ROI	28.2965	-62.8698	-11.3742
155	R_PHA2_ROI	31.8720	-37.3079	-11.6448
156	R_V4t_ROI	48.5570	-79.1467	0.8519
157	R_FST_ROI	48.1547	-68.2922	2.1490
158	R_V3CD_ROI	36.4646	-88.0802	12.4944
159	R_LO3_ROI	46.5901	-80.2297	12.4882
160	R_VMV2_ROI	28.3065	-55.9025	-5.9153
161	R_31pd_ROI	10.0265	-53.0326	35.8836
162	R_31a_ROI	5.2442	-38.2748	42.8270
163	R_VVC_ROI	31.7499	-53.2179	-17.3399
164	R_25_ROI	5.5013	24.3861	-13.6831
165	R_s32_ROI	8.6206	35.6809	-14.1489
166	R_pOFC_ROI	14.3601	13.6553	-20.5745
167	R_PoI1_ROI	38.6192	-10.7899	-3.8789
168	R_Ig_ROI	36.1372	-14.9722	14.2595
169	R_FOP5_ROI	36.0331	26.8189	5.0041
170	R_p10p_ROI	25.1524	60.9985	5.1240
171	R_p47r_ROI	45.7503	42.9602	0.8350
172	R_TGv_ROI	40.7413	-2.2964	-44.3783
173	R_MBelt_ROI	45.4542	-16.6926	3.6045
174	R_LBelt_ROI	45.4069	-27.3835	8.4802
175	R_A4_ROI	64.0482	-22.6116	9.0786
176	R_STSva_ROI	52.2359	-9.8519	-15.6898
177	R_TE1m_ROI	64.9845	-26.7482	-14.7498
178	R_PI_ROI	44.6049	-2.9578	-14.5062
179	R_a32pr_ROI	9.6500	29.0187	28.5440
180	R_p24_ROI	5.7963	36.7433	15.4833
181	L_V1_ROI	-11.9193	-81.8523	4.1927
182	L_MST_ROI	-42.7908	-64.9359	4.1438
183	L_V6_ROI	-17.5192	-76.8970	31.2410
184	L_V2_ROI	-12.2690	-79.4466	6.2529
185	L_V3_ROI	-19.6156	-86.3528	8.2842
186	L_V4_ROI	-29.7493	-84.2578	-0.8536
187	L_V8_ROI	-29.9330	-73.3574	-12.8481
188	L_4_ROI	-27.6924	-17.8397	57.3667
190	L_FEF_ROI	-43.8339	-1.7487	51.6228
191	L_PEF_ROI	-46.1424	3.0967	36.4244
192	L_55b_ROI	-49.3700	2.1850	47.0116
193	L_V3A_ROI	-18.3168	-88.1823	31.8159
194	L_RSC_ROI	-5.7652	-36.7918	21.1765
195	L_POS2_ROI	-12.5711	-70.2859	39.6640
196	L_V7_ROI	-28.4044	-82.5011	33.7468
197	L_IPS1_ROI	-26.9109	-71.1152	39.4284
198	L_FFC_ROI	-40.3222	-54.3409	-19.4771
