"network","n_verum","n_placebo","verum_med","placebo_med","effect_verum_minus_placebo","perm_p","perm_q"
"Sensorimotor",17,18,-0.0623788044204801,0.0398555638726727,-0.201199261548534,0.462553744625537,0.794520547945205
"Salience",17,18,-0.0592587019458624,0.0281901012000784,-0.0486180145913478,0.756024397560244,0.794520547945205
"Dorsal Attention",17,18,-0.102256540816996,-0.0234556035802477,-0.124735699466643,0.428457154284572,0.794520547945205
"Central Executive",17,18,0.0359585037992662,0.0493469394968845,-0.0806932678657745,0.601939806019398,0.794520547945205
"Default Mode",17,18,-0.140356622137067,-0.0961954437213379,-0.0496251287929841,0.794520547945205,0.794520547945205
