pipeline,arm,session,slope,intercept,r,p,n_parcels
detrend,placebo,Pre,-0.008934092253085625,2.7077914074446596,-0.06136664618738177,0.24548099220920558,360
detrend,placebo,Post,-0.02382074750989969,3.728081641325559,-0.12134874583029837,0.021282225167077635,360
detrend,verum,Pre,0.001915866445458578,3.029120929211893,0.013476745069310927,0.7988578387470955,360
detrend,verum,Post,-0.01346986351134743,3.1006169989267502,-0.08971755159656623,0.08917230123386752,360
glm,placebo,Pre,-0.0028445965414229547,2.074491667486054,-0.021624381158924472,0.6826022661512404,360
glm,placebo,Post,-0.04711993506195222,2.5117088123843736,-0.27957907814370625,6.885510221362333e-08,360
glm,verum,Pre,0.018383903944927765,2.0582144001942777,0.15162352008125127,0.003932348739844864,360
glm,verum,Post,-0.0003306963848099131,2.3520238602992563,-0.002438082134866766,0.9632317061123471,360
maximal,placebo,Pre,-0.0005337253186448553,3.053906781092219,-0.010862863761481467,0.8372614881972171,360
maximal,placebo,Post,-0.016628444858630777,3.266843051305998,-0.2595315429987501,5.946383173037658e-07,360
maximal,verum,Pre,0.00401867885472241,3.079190342131522,0.11644908406276423,0.027153550314472287,360
maximal,verum,Post,-0.006152669055853157,3.178062256922119,-0.12126935985198511,0.021367784186370684,360
