"network","n_verum","n_placebo","verum_med","placebo_med","effect_verum_minus_placebo","perm_p","perm_q"
"Sensorimotor",17,18,-0.1614993268651,0.178213438518065,-0.252676669790768,0.0638936106389361,0.15973402659734
"Salience",17,18,-0.0842597060340054,0.0293073200162824,-0.12412976631837,0.181881811818818,0.181881811818818
"Dorsal Attention",17,18,-0.160699737216044,-0.00805199591278982,-0.227526891376973,0.032996700329967,0.15973402659734
"Central Executive",17,18,-0.0733826321385086,-0.0159695613894725,-0.159576670877096,0.146385361463854,0.181881811818818
"Default Mode",17,18,-0.0516147281110278,-0.0115184768716244,-0.155737293774001,0.16958304169583,0.181881811818818
