roi_id,sampen
1,5.820178962415188
2,5.6062730069665685
3,5.269460674993227
4,4.814363980576967
5,4.81713594285019
6,4.470693932200375
7,5.321928094887363
13,4.660854266126622
16,4.318126524727506
17,4.879145605125615
18,4.542847626824934
19,5.61797755794912
20,4.685050825127666
21,4.749534267669262
22,4.598259323334615
23,5.20945336562895
48,4.185214872466908
49,3.736716832196301
121,5.813781191217037
142,4.837943241891027
152,4.961525852185365
153,4.8223052635235755
154,4.980547637333827
156,4.684026628250259
157,4.821339151493306
158,4.921997487998727
159,4.353636954614701
160,4.821710215034675
163,4.20685157044067
181,4.48917896203135
182,4.596367263993406
183,4.807354922057604
184,4.5494638194997705
185,4.573544843291464
186,3.9970884045800967
187,5.751915935632177
193,4.600904044590178
196,4.08746284125034
198,4.213481367429052
199,4.866248611111173
201,4.290018846932619
202,4.414685235807215
203,4.061888386633046
229,3.800667165879746
301,6.339850002884625
322,4.204947286877039
332,5.34408450853953
333,5.484435624767192
334,5.115477217419936
336,4.320209577661063
337,4.323129840097115
338,4.33249733659755
339,4.5417419721220345
340,5.355204249761661
343,4.209453365628949
