"roi_pos_id","roi_name","self_layer","n_obs","term","estimate","SE","p_value","status","message","p_fdr"
7,"L_V8_ROI","nonself",70,"groupverum:sessionses-02",0.0970393260493535,0.193369576601518,0.619116579278662,"ok",NA,0.982034416512791
8,"L_4_ROI","nonself",70,"groupverum:sessionses-02",-0.128995661374828,0.201789364336405,0.527067348116583,"ok",NA,0.914028185974327
9,"L_3b_ROI","nonself",70,"groupverum:sessionses-02",-0.273403663815992,0.19211329039884,0.164082085372469,"ok",NA,0.777834829807756
13,"L_V3A_ROI","nonself",70,"groupverum:sessionses-02",-0.0418358746252804,0.226440671763351,0.854552574592983,"ok",NA,0.998717586568188
16,"L_V7_ROI","nonself",70,"groupverum:sessionses-02",-0.161493943237495,0.210884432508333,0.449242182635797,"ok",NA,0.868711395864962
17,"L_IPS1_ROI","nonself",70,"groupverum:sessionses-02",-0.202341073797181,0.202922544835186,0.32595506262377,"ok",NA,0.802645580836457
19,"L_V3B_ROI","nonself",70,"groupverum:sessionses-02",-0.236892996916291,0.219439944251693,0.288176797385973,"ok",NA,0.802645580836457
20,"L_LO1_ROI","nonself",70,"groupverum:sessionses-02",-0.150969820413928,0.21502935262979,0.487546255952439,"ok",NA,0.868711395864962
23,"L_MT_ROI","nonself",70,"groupverum:sessionses-02",-0.241854293644527,0.164528343869992,0.151036311070543,"ok",NA,0.777834829807756
24,"L_A1_ROI","nonself",70,"groupverum:sessionses-02",-0.133969073617849,0.191127709536444,0.488253850230672,"ok",NA,0.868711395864962
36,"L_5m_ROI","nonself",70,"groupverum:sessionses-02",-0.278141400718159,0.19324407743095,0.1594768302826,"ok",NA,0.777834829807756
39,"L_5L_ROI","nonself",70,"groupverum:sessionses-02",-0.17529134627325,0.229081170636159,0.449594672944396,"ok",NA,0.868711395864962
41,"L_24dv_ROI","nonself",70,"groupverum:sessionses-02",-0.353489504658056,0.197199682555456,0.082217607100921,"ok",NA,0.777834829807756
42,"L_7AL_ROI","nonself",70,"groupverum:sessionses-02",-0.184577163049856,0.177101623290175,0.30488957090127,"ok",NA,0.802645580836457
47,"L_7PC_ROI","nonself",70,"groupverum:sessionses-02",-0.313164160265092,0.202226497159334,0.131020431675144,"ok",NA,0.777834829807756
48,"L_LIPv_ROI","nonself",70,"groupverum:sessionses-02",0.0215789619437723,0.192208666863865,0.911290733160874,"ok",NA,0.998717586568188
49,"L_VIP_ROI","nonself",70,"groupverum:sessionses-02",-0.608465127641083,0.226537347009395,0.0112329001251669,"ok",NA,0.63509564785412
51,"L_1_ROI","nonself",70,"groupverum:sessionses-02",-0.146857927151418,0.208546126218829,0.486249016408234,"ok",NA,0.868711395864962
52,"L_2_ROI","nonself",70,"groupverum:sessionses-02",-0.341505662940593,0.208904060920841,0.111606744757216,"ok",NA,0.777834829807756
54,"L_6d_ROI","nonself",70,"groupverum:sessionses-02",-0.196086368522121,0.158203192195286,0.223918187802275,"ok",NA,0.793039056549883
55,"L_6mp_ROI","nonself",70,"groupverum:sessionses-02",-0.294465869560953,0.211020206682976,0.172203556361951,"ok",NA,0.777834829807756
56,"L_6v_ROI","nonself",70,"groupverum:sessionses-02",-0.265262282893349,0.184084590591762,0.159012288923934,"ok",NA,0.777834829807756
100,"L_OP4_ROI","nonself",70,"groupverum:sessionses-02",-0.152967585206166,0.190513504193168,0.427764825291714,"ok",NA,0.868711395864962
101,"L_OP1_ROI","nonself",70,"groupverum:sessionses-02",-0.275437220446378,0.170450151460063,0.115628875329041,"ok",NA,0.777834829807756
102,"L_OP2-3_ROI","nonself",70,"groupverum:sessionses-02",-0.286965951337761,0.183050154500345,0.126493671094203,"ok",NA,0.777834829807756
103,"L_52_ROI","nonself",70,"groupverum:sessionses-02",0.0172632210796592,0.149867647552303,0.908992770358862,"ok",NA,0.998717586568188
104,"L_RI_ROI","nonself",70,"groupverum:sessionses-02",0.0517343260526748,0.199322725884349,0.796822903526922,"ok",NA,0.998717586568188
107,"L_TA2_ROI","nonself",70,"groupverum:sessionses-02",0.0427390625136175,0.278364357943532,0.878443769042456,"singular",NA,0.998717586568188
115,"L_FOP2_ROI","nonself",70,"groupverum:sessionses-02",-0.10020581838492,0.186008277810101,0.593697957875876,"ok",NA,0.979959279867409
121,"L_ProS_ROI","nonself",70,"groupverum:sessionses-02",0.105892610146159,0.23530456448388,0.655635878672555,"ok",NA,0.982034416512791
124,"L_PBelt_ROI","nonself",70,"groupverum:sessionses-02",0.204593064055752,0.230690164378947,0.381564872077758,"ok",NA,0.829752182137347
142,"L_DVT_ROI","nonself",70,"groupverum:sessionses-02",-0.0547156671571972,0.212503453759027,0.798406075589263,"ok",NA,0.998717586568188
152,"L_V6A_ROI","nonself",70,"groupverum:sessionses-02",-0.365174166751,0.252527110108128,0.157586556220244,"ok",NA,0.777834829807756
153,"L_VMV1_ROI","nonself",70,"groupverum:sessionses-02",-0.164781759269425,0.197197864067665,0.409380363861733,"ok",NA,0.862847843831653
154,"L_VMV3_ROI","nonself",70,"groupverum:sessionses-02",0.20846751861091,0.187521513506058,0.274301364133823,"ok",NA,0.802645580836457
156,"L_V4t_ROI","nonself",70,"groupverum:sessionses-02",-0.000355151569257888,0.206226401512225,0.998636297276655,"ok",NA,0.998717586568188
157,"L_FST_ROI","nonself",70,"groupverum:sessionses-02",-0.326184992341276,0.225802512978328,0.158010618206978,"ok",NA,0.777834829807756
158,"L_V3CD_ROI","nonself",70,"groupverum:sessionses-02",0.0594979107058069,0.218461470270556,0.787050075021053,"ok",NA,0.998717586568188
160,"L_VMV2_ROI","nonself",70,"groupverum:sessionses-02",-0.00889718583171245,0.224228329168441,0.968588025574385,"ok",NA,0.998717586568188
163,"L_VVC_ROI","nonself",70,"groupverum:sessionses-02",-0.143726364231562,0.190222556431415,0.455266921125139,"ok",NA,0.868711395864962
168,"L_Ig_ROI","nonself",70,"groupverum:sessionses-02",-0.353998895317561,0.20656512645169,0.0959568700582688,"ok",NA,0.777834829807756
173,"L_MBelt_ROI","nonself",70,"groupverum:sessionses-02",0.21701676515977,0.178051057284842,0.231544250087557,"ok",NA,0.793039056549883
174,"L_LBelt_ROI","nonself",70,"groupverum:sessionses-02",-0.293331857141811,0.150721174124003,0.0601884080124575,"ok",NA,0.777834829807756
175,"L_A4_ROI","nonself",70,"groupverum:sessionses-02",-0.119703879317058,0.211039027883329,0.574408680618304,"ok",NA,0.971530731416144
181,"R_V1_ROI","nonself",70,"groupverum:sessionses-02",-0.010914479819103,0.213264134505365,0.959492039070947,"ok",NA,0.998717586568188
182,"R_MST_ROI","nonself",70,"groupverum:sessionses-02",-0.185697471788801,0.180196239823552,0.310255856458319,"ok",NA,0.802645580836457
183,"R_V6_ROI","nonself",70,"groupverum:sessionses-02",0.151397455723479,0.21370068454632,0.48363710636624,"ok",NA,0.868711395864962
184,"R_V2_ROI","nonself",70,"groupverum:sessionses-02",-0.0492660169647922,0.219983205368097,0.824174213544877,"ok",NA,0.998717586568188
185,"R_V3_ROI","nonself",70,"groupverum:sessionses-02",-0.105191792018215,0.22249999716819,0.639487839754285,"ok",NA,0.982034416512791
186,"R_V4_ROI","nonself",70,"groupverum:sessionses-02",-0.044250723430526,0.240398410700171,0.855083092702961,"ok",NA,0.998717586568188
187,"R_V8_ROI","nonself",70,"groupverum:sessionses-02",-0.000341393008266699,0.210803017673918,0.998717586568188,"ok",NA,0.998717586568188
188,"R_4_ROI","nonself",70,"groupverum:sessionses-02",-0.0981315903028356,0.214066628482974,0.649658294833348,"ok",NA,0.982034416512791
189,"R_3b_ROI","nonself",70,"groupverum:sessionses-02",-0.0478840181746659,0.232486585407624,0.838083933857588,"ok",NA,0.998717586568188
193,"R_V3A_ROI","nonself",70,"groupverum:sessionses-02",-0.00211770121473361,0.226908293235489,0.992609764539477,"ok",NA,0.998717586568188
196,"R_V7_ROI","nonself",70,"groupverum:sessionses-02",-0.229649809965042,0.202245771495453,0.264346393733387,"ok",NA,0.802645580836457
198,"R_FFC_ROI","nonself",70,"groupverum:sessionses-02",-0.247780843558438,0.15616831623295,0.122134231888736,"ok",NA,0.777834829807756
199,"R_V3B_ROI","nonself",70,"groupverum:sessionses-02",-0.442746438022012,0.210964159599839,0.043578625754854,"ok",NA,0.777834829807756
201,"R_LO2_ROI","nonself",70,"groupverum:sessionses-02",-0.350175529979742,0.190342104505964,0.0748203478655869,"ok",NA,0.777834829807756
202,"R_PIT_ROI","nonself",70,"groupverum:sessionses-02",-0.387449793239354,0.192339161361524,0.0521761344687912,"ok",NA,0.777834829807756
203,"R_MT_ROI","nonself",70,"groupverum:sessionses-02",-0.373609453569944,0.195301307765623,0.0644595707000719,"ok",NA,0.777834829807756
204,"R_A1_ROI","nonself",70,"groupverum:sessionses-02",0.00183057961347351,0.155812442919386,0.990696922350274,"ok",NA,0.998717586568188
216,"R_5m_ROI","nonself",70,"groupverum:sessionses-02",-0.397160650301009,0.174208760281194,0.0292139137329459,"ok",NA,0.777834829807756
219,"R_5L_ROI","nonself",70,"groupverum:sessionses-02",-0.222916638605999,0.238816729406576,0.357382338912583,"ok",NA,0.802645580836457
220,"R_24dd_ROI","nonself",70,"groupverum:sessionses-02",-0.23361691850667,0.208024315956321,0.26953018318462,"ok",NA,0.802645580836457
221,"R_24dv_ROI","nonself",70,"groupverum:sessionses-02",-0.0546309404356378,0.236557716443222,0.818786291987995,"ok",NA,0.998717586568188
222,"R_7AL_ROI","nonself",70,"groupverum:sessionses-02",-0.232735992772445,0.237185394765938,0.333613542949268,"ok",NA,0.802645580836457
229,"R_VIP_ROI","nonself",70,"groupverum:sessionses-02",-0.371069796407184,0.21359967443572,0.0916749450469047,"ok",NA,0.777834829807756
