"contrast","Group","Category","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"(ses-02) - (ses-01)","placebo","nonself",0.314118129974891,0.0137530952299823,9408.94466242108,0.287159090650503,0.341077169299279,22.8398134908643,2.02515251981427e-112
"(ses-02) - (ses-01)","verum","nonself",0.167238614976405,0.0141518182396329,9408.94466226679,0.139497992370802,0.194979237582008,11.8174648758592,5.33637987471599e-32
"(ses-02) - (ses-01)","placebo","Interoception",0.179442486237462,0.0414671423489798,9408.94466172378,0.0981579242852503,0.260727048189673,4.32734150637406,1.52479401148004e-05
"(ses-02) - (ses-01)","verum","Interoception",0.199682512999501,0.0426693374565184,9408.94466324213,0.116041388787105,0.283323637211896,4.679765960814,2.91212970703555e-06
"(ses-02) - (ses-01)","placebo","Exteroception",0.234493330653894,0.0343827380749557,9408.94466148889,0.167095732342922,0.301890928964865,6.82008891039128,9.65852055875569e-12
"(ses-02) - (ses-01)","verum","Exteroception",0.161351933794058,0.0353795455990823,9408.94466332823,0.0920003772800518,0.230703490308065,4.56059938198425,5.16526413640904e-06
"(ses-02) - (ses-01)","placebo","Cognition",0.0333680940607873,0.0434911058039412,9408.94466245264,-0.051883873734326,0.118620061855901,0.767239495155892,0.442958386224901
"(ses-02) - (ses-01)","verum","Cognition",-0.0430665697913352,0.0447519786699546,9408.94466369965,-0.130790120936194,0.0446569813535236,-0.962338896989355,0.335904126776533
