"Category","estimate","SE","df","t","p","p_holm","p_fdr"
"nonself",-0.146879514998486,0.0197337677064611,9408.94466272296,-7.44305482781147,1.07019390361784e-13,4.28077561447137e-13,4.28077561447137e-13
"Interoception",0.0202400267620388,0.0594995483476034,9408.94466276153,0.340171099178671,0.733735275032761,0.733735275032761,0.733735275032761
"Exteroception",-0.0731413968598351,0.0493344192661528,9408.94466305873,-1.48256324788677,0.138223979080449,0.414671937241347,0.276447958160898
"Cognition",-0.0764346638521226,0.0624036527690942,9408.94466374578,-1.22484278500404,0.220665124165122,0.441330248330243,0.294220165553495
